date,open,high,low,close,volume
2017-08-28,4306.12988,4399.81982,4271.029785,4386.68994,0.0
2017-08-29,4386.68994,4625.8501,4313.5498,4587.47998,0.0
2017-08-30,4587.47998,4647.50977,4416.049805,4555.14014,0.0
2017-08-31,4555.14014,4745.41992,4555.14014,4724.89014,0.0
2017-09-01,4724.89014,4885.5498,4654.87988,4834.91016,0.0
2017-09-02,4834.91016,4939.18994,4286.87012,4472.14014,0.0
2017-09-03,4472.14014,4714.75977,4298.33008,4509.080078,0.0
2017-09-04,4509.080078,4527.49023,3972.51001,4100.10986,0.0
2017-09-05,4100.10986,4484.97998,3603.0,4366.47021,0.0
2017-09-06,4366.49023,4662.87012,4335.25977,4619.77002,0.0
2017-09-07,4619.77002,4788.58984,4438.2002,4691.60986,0.0
2017-09-08,4691.60986,4735.39014,4028.92993,4282.7998,0.0
2017-09-09,4282.7998,4426.62012,4155.3501,4258.81006,0.0
2017-09-10,4258.81006,4282.99023,3801.0,4176.89014,0.0
2017-09-11,4153.62012,4329.27002,4098.91016,4208.47021,0.0
2017-09-12,4208.6001,4394.58984,4040.80005,4163.72021,0.0
2017-09-13,4159.72021,4165.37988,3760.0,3944.68994,0.0
2017-09-14,3944.0,3993.0,3169.55005,3200.12012,0.0
2017-09-15,3189.02002,3853.0,2817.0,3700.0,0.0
2017-09-16,3674.01001,3937.97998,3470.65991,3714.94995,0.0
2017-09-17,3685.22998,3748.20996,3499.02002,3699.98999,0.0
2017-09-18,3699.98999,4123.2002,3690.0,4035.0,0.0
2017-09-19,4035.01001,4089.96997,3830.90991,3910.040039,0.0
2017-09-20,3910.040039,4046.080078,3820.0,3890.0,0.0
2017-09-21,3900.0,3910.0,3567.0,3609.98999,0.0
2017-09-22,3609.98999,3747.48999,3505.55005,3595.87012,0.0
2017-09-23,3595.87012,3817.18994,3542.90991,3785.0,0.0
2017-09-24,3779.54004,3789.98999,3622.76001,3679.98999,0.0
2017-09-25,3660.02002,3979.86011,3653.68994,3920.75,0.0
2017-09-26,3920.75,3976.98999,3850.050049,3882.3501,0.0
2017-09-27,3882.3501,4249.93994,3872.81006,4193.0,0.0
2017-09-28,4193.0,4299.9502,4101.02002,4174.5,0.0
2017-09-29,4174.5,4259.99023,3970.0,4174.68994,0.0
2017-09-30,4174.68994,4379.99023,4138.1001,4378.50977,0.0
2017-10-01,4378.49023,4405.5,4240.41016,4378.47998,0.0
2017-10-02,4378.47998,4561.62988,4360.0,4380.0,0.0
