date,open,high,low,close,volume
2013-01-02,57.67,57.78,57.39,57.74,26056300.0
2013-01-03,57.33,57.54,57.09,57.18,23239700.0
2013-01-04,57.07,57.54,57.0099983,57.47,15522200.0
2013-01-07,57.02,57.28,56.94,57.22,14102600.0
2013-01-08,57.02,57.080002,56.69,56.9,15592300.0
2013-01-09,57.09,57.27,57.029999,57.19,12779400.0
2013-01-10,57.8,58.0099983,57.59,57.92,17718600.0
2013-01-11,58.0099983,58.11,57.84,58.040001,12624700.0
2013-01-14,58.049999,58.15,57.87,58.11,9980400.0
2013-01-15,57.75,58.049999,57.69,58.02,12534000.0
2013-01-16,57.62,57.81,57.52,57.74,12907000.0
2013-01-17,58.14,58.32,58.0,58.21,14936200.0
2013-01-18,58.14,58.22,57.89,58.15,18844000.0
2013-01-22,58.029999,58.18,57.83,58.18,12090100.0
2013-01-23,58.040001,58.16,57.88,58.12,10139900.0
2013-01-24,58.22,58.54,58.19,58.4,13640100.0
2013-01-25,58.95,59.029999,58.7,59.029999,16643500.0
2013-01-28,58.81,58.85,58.54,58.74,14802900.0
2013-01-29,58.87,59.2,58.85,59.14,13403300.0
2013-01-30,59.17,59.43,59.13,59.2,18943400.0
2013-01-31,59.11,59.28,58.94,58.98,22252200.0
2013-02-01,59.36,59.59,59.21,59.45,19989200.0
2013-02-04,58.79,58.89,58.26,58.38,18125200.0
2013-02-05,58.54,58.81,58.49,58.65,15418900.0
2013-02-06,58.28,58.67,58.24,58.64,26336000.0
2013-02-07,58.59,58.64,57.86,58.16,21947700.0
2013-02-08,58.36,58.59,58.36,58.53,18326200.0
2013-02-11,58.53,58.54,58.25,58.47,12677200.0
2013-02-12,58.5,58.88,58.45,58.76,11534200.0
2013-02-13,59.040001,59.17,58.84,58.9,8955200.0
2013-02-14,58.38,58.62,58.36,58.58,10409900.0
2013-02-15,58.66,58.71,58.26,58.43,12095000.0
2013-02-19,58.93,59.16,58.92,59.12,20173800.0
2013-02-20,59.25,59.29,58.53,58.54,17523500.0
2013-02-21,57.84,57.87,57.4,57.66,34195200.0
2013-02-22,58.12,58.51,57.95,58.49,23364000.0
2013-02-25,58.83,58.93,57.02,57.09,40205000.0
2013-02-26,57.68,57.84,57.19,57.55,25416500.0
2013-02-27,57.47,58.35,57.4,58.28,16819600.0
2013-02-28,58.26,58.56,58.15,58.22,17815100.0
2013-03-01,57.8,58.2,57.58,58.099998,18241800.0
2013-03-04,57.95,58.36,57.85,58.35,14580300.0
2013-03-05,58.82,59.040001,58.8,58.93,16168000.0
2013-03-06,59.18,59.22,58.82,59.080002,17189600.0
2013-03-07,59.22,59.34,59.18,59.25,11797900.0
2013-03-08,59.29,59.42,59.040001,59.38,23305900.0
2013-03-11,59.29,59.56,59.22,59.56,10873200.0
2013-03-12,59.53,59.6,59.15,59.26,16015600.0
2013-03-13,59.13,59.33,58.87,59.17,20517900.0
2013-03-14,59.43,59.81,59.4,59.75,12158300.0
2013-03-15,59.92,59.99,59.71,59.87,18191100.0
2013-03-18,59.12,59.65,59.09,59.21,25132800.0
2013-03-19,59.36,59.44,58.63,59.029999,25745200.0
2013-03-20,59.44,59.54,59.29,59.39,16134800.0
2013-03-21,58.9,59.23,58.82,58.85,18106800.0
2013-03-22,59.18,59.45,59.080002,59.36,18090400.0
2013-03-25,59.39,59.47,58.47,58.62,31933000.0
2013-03-26,58.83,59.0,58.66,58.99,15040700.0
2013-03-27,58.31,58.72,58.2,58.7,14990300.0
2013-03-28,58.82,59.040001,58.74,58.98,28690100.0
2013-04-01,58.57,58.62,58.09,58.19,24852900.0
2013-04-02,58.84,59.099998,58.73,58.81,19636600.0
2013-04-03,59.060001,59.14,58.47,58.52,16961000.0
2013-04-04,58.72,59.099998,58.59,59.040001,14924900.0
2013-04-05,58.22,58.78,58.16,58.77,18160400.0
2013-04-08,58.74,59.0,58.64,59.0,17117700.0
2013-04-09,58.98,59.41,58.75,59.21,17406300.0
2013-04-10,59.75,60.22,59.74,60.09,18195500.0
2013-04-11,60.47,60.84,60.38,60.56,19865300.0
2013-04-12,60.28,60.43,60.029999,60.41,16777400.0
2013-04-15,59.87,59.9,59.19,59.22,22699900.0
2013-04-16,59.9,60.060001,59.6,60.060001,14675700.0
2013-04-17,59.34,59.37,58.52,58.81,30730800.0
2013-04-18,58.92,58.95,58.44,58.63,19211400.0
2013-04-19,59.0099983,59.12,58.84,59.099998,24725900.0
2013-04-22,59.099998,59.44,58.79,59.35,16899700.0
2013-04-23,59.84,60.23,59.82,60.19,21257700.0
2013-04-24,60.52,60.88,60.45,60.71,18269400.0
2013-04-25,61.0099983,61.3,60.96,61.029999,20079200.0
2013-04-26,60.96,61.14,60.89,61.080002,13910200.0
2013-04-29,61.36,61.93,61.35,61.86,14721000.0
2013-04-30,61.84,61.99,61.71,61.94,22261300.0
2013-05-01,62.0,62.02,61.44,61.57,19104600.0
2013-05-02,61.42,61.89,61.36,61.76,18247200.0
2013-05-03,62.31,62.63,62.28,62.55,19161200.0
2013-05-06,62.28,62.47,62.22,62.47,7583700.0
2013-05-07,62.56,62.66,62.36,62.57,15724500.0
2013-05-08,62.9,63.26,62.9,63.23,17768200.0
2013-05-09,62.9,62.96,62.37,62.62,16372400.0
2013-05-10,62.55,62.72,62.34,62.69,15403400.0
2013-05-13,62.62,62.7,62.46,62.66,11911400.0
2013-05-14,62.56,62.88,62.55,62.78,26158800.0
2013-05-15,62.69,63.07,62.68,63.049999,15961600.0
2013-05-16,62.73,62.95,62.49,62.62,16669100.0
2013-05-17,62.65,63.07,62.59,63.049999,12925700.0
2013-05-20,63.080002,63.44,63.07,63.4,16117200.0
2013-05-21,63.15,63.66,63.029999,63.53,15283700.0
2013-05-22,63.54,64.14,62.7,62.89,21713500.0
2013-05-23,61.33,62.0099983,60.99,61.99,27055200.0
2013-05-24,61.17,61.47,60.99,61.45,19956800.0
2013-05-28,61.97,62.16,61.47,61.61,20275800.0
2013-05-29,61.080002,61.16,60.73,61.02,18099400.0
2013-05-30,61.029999,61.45,60.99,61.26,27382900.0
2013-05-31,60.51,60.65,60.029999,60.07,36549400.0
2013-06-03,60.080002,60.51,59.77,60.3,30340700.0
2013-06-04,60.79,60.89,60.2,60.52,17024400.0
2013-06-05,59.83,59.85,59.15,59.17,28821600.0
2013-06-06,59.16,59.53,58.87,59.5,24386900.0
2013-06-07,59.54,60.31,59.4,60.3,19245200.0
2013-06-10,60.47,60.49,60.13,60.36,14559800.0
2013-06-11,59.48,59.95,59.35,59.62,16619000.0
2013-06-12,60.3,60.36,59.47,59.55,14378100.0
2013-06-13,59.69,60.57,59.59,60.46,20158400.0
2013-06-14,60.0099983,60.33,59.61,59.8,17334200.0
2013-06-17,60.87,61.049999,60.3,60.66,17560400.0
2013-06-18,60.87,61.2,60.85,61.09,13168500.0
2013-06-19,61.040001,61.18,59.94,59.95,33232800.0
2013-06-20,58.71,58.74,57.66,57.75,40517100.0
2013-06-21,58.42,58.47,57.43,57.94,30474300.0
2013-06-24,56.74,57.33,56.44,57.029999,24351500.0
2013-06-25,57.53,57.85,57.099998,57.76,24494900.0
2013-06-26,58.029999,58.18,57.78,57.99,27142000.0
2013-06-27,57.33,57.71,57.33,57.41,17753800.0
2013-06-28,57.31,57.6,57.09,57.3,31174100.0
2013-07-01,57.81,58.080002,57.75,57.84,15315900.0
2013-07-02,57.78,58.09,57.33,57.55,13492800.0
2013-07-03,57.11,57.68,57.02,57.57,11748500.0
2013-07-05,57.96,57.98,57.41,57.84,10197800.0
2013-07-08,58.049999,58.32,58.0,58.2,11993200.0
2013-07-09,58.64,58.64,58.16,58.52,11624200.0
2013-07-10,58.51,59.11,58.45,58.69,16162300.0
2013-07-11,59.78,60.27,59.54,60.21,20284600.0
2013-07-12,59.77,59.92,59.63,59.81,15189800.0
2013-07-15,60.029999,60.19,59.93,60.18,17063200.0
2013-07-16,60.13,60.23,59.98,60.14,10894600.0
2013-07-17,60.62,60.62,60.18,60.32,13744500.0
2013-07-18,60.49,60.78,60.11,60.72,11036600.0
2013-07-19,60.51,60.77,60.4,60.67,23299300.0
2013-07-22,60.81,61.07,60.78,61.0099983,16518900.0
2013-07-23,61.21,61.26,60.95,61.14,11132000.0
2013-07-24,61.37,61.38,60.81,61.060001,12887500.0
2013-07-25,60.5,61.21,60.49,61.18,14467100.0
2013-07-26,60.63,60.8,60.3,60.8,15499000.0
2013-07-29,60.24,60.34,60.12,60.22,11063600.0
2013-07-30,60.47,60.51,60.02,60.21,10712500.0
2013-07-31,60.060001,60.75,60.060001,60.35,22989900.0
2013-08-01,61.12,61.26,60.96,61.17,24484500.0
2013-08-02,61.23,61.67,61.21,61.67,15475000.0
2013-08-05,61.4,61.56,61.23,61.54,11483000.0
2013-08-06,61.69,61.74,61.3,61.45,18325300.0
2013-08-07,61.2,61.3,61.099998,61.18,11989700.0
2013-08-08,61.52,61.83,61.34,61.73,12612700.0
2013-08-09,61.65,61.94,61.61,61.84,14951500.0
2013-08-12,61.51,61.73,61.5,61.67,13785000.0
2013-08-13,61.83,62.14,61.49,62.07,13189100.0
2013-08-14,62.099998,62.19,61.99,62.099998,14258600.0
2013-08-15,61.33,61.66,60.94,61.58,23650000.0
2013-08-16,61.71,61.83,61.59,61.69,15219600.0
2013-08-19,61.62,61.66,61.21,61.25,13596700.0
2013-08-20,61.029999,61.33,60.92,61.17,12885800.0
2013-08-21,60.77,61.0,60.23,60.45,12755200.0
2013-08-22,60.9,61.13,60.88,61.040001,8041700.0
2013-08-23,61.38,61.58,61.21,61.57,10141600.0
2013-08-26,61.28,61.4,61.11,61.12,8471000.0
2013-08-27,60.43,60.63,60.040001,60.080002,18839100.0
2013-08-28,59.75,60.22,59.68,60.0099983,10521700.0
2013-08-29,59.86,60.16,59.8,59.91,10555800.0
2013-08-30,59.62,59.64,59.16,59.17,21045300.0
2013-09-03,60.51,60.59,60.040001,60.31,18912700.0
2013-09-04,60.21,60.94,60.15,60.85,11868800.0
2013-09-05,60.59,60.86,60.58,60.8,10523400.0
2013-09-06,61.060001,61.31,60.65,61.13,16398000.0
2013-09-09,61.49,62.0,61.49,61.97,17398000.0
2013-09-10,62.48,62.7,62.41,62.67,15972400.0
2013-09-11,62.42,62.91,62.41,62.89,11864200.0
