date,open,high,low,close,volume
2019-09-18,213.4600,213.4600,213.4600,213.4600,1.00000000
2019-09-19,213.4600,213.4600,213.4600,213.4600,0.00000000
2019-09-20,213.4600,213.4600,213.4600,213.4600,0.00000000
2019-09-21,213.4600,213.4600,213.4600,213.4600,0.00000000
2019-09-22,213.4600,213.4600,213.4600,213.4600,0.00000000
2019-09-23,213.4600,213.4600,213.4600,213.4600,0.10000000
2019-09-24,195.5500,195.5900,151.9000,167.4300,1881.24963000
2019-09-25,167.1200,175.1300,164.1600,170.1000,243.08903000
2019-09-26,170.1000,170.7800,153.0600,166.2800,348.22578000
2019-09-27,165.7200,176.0000,161.3800,174.1900,657.72098000
2019-09-28,174.1300,175.4200,168.5000,173.9700,759.38628000
2019-09-29,173.9800,174.4500,164.6100,169.7400,384.36143000
2019-09-30,169.5200,181.4100,163.3700,180.7200,1361.95121000
2019-10-01,181.6000,185.6900,174.0000,176.4200,526.38062000
2019-10-02,176.1700,181.4800,174.3800,180.6900,380.52576000
2019-10-03,180.7800,181.0800,170.0300,175.0000,1321.00731000
2019-10-04,175.0800,179.2600,171.1500,175.8900,576.08577000
2019-10-05,175.8400,176.8600,172.4700,176.5300,371.47352000
2019-10-06,176.6800,176.9500,168.2700,170.4300,300.56547000
2019-10-07,170.1400,182.2300,168.8100,180.2000,724.04013000
2019-10-08,180.7900,184.8400,177.3700,181.0400,652.36017000
2019-10-09,180.9200,195.5200,179.5900,194.0200,1708.56502000
2019-10-10,193.1700,194.3600,187.5100,191.5300,956.08111000
2019-10-11,192.0300,196.6300,179.6600,180.8500,1365.40537000
2019-10-12,180.8100,184.7400,178.2000,180.1100,682.88764000
2019-10-13,179.4300,184.6600,178.8800,181.1900,767.26505000
2019-10-14,180.8000,187.7000,180.6400,186.8400,974.02002000
2019-10-15,186.8900,188.3800,177.7200,180.5000,1961.03256000
2019-10-16,180.4400,181.2200,172.1900,174.6000,1940.00946000
2019-10-17,174.6100,178.8900,172.8200,177.2800,1860.79506000
2019-10-18,177.1600,177.6900,168.5700,172.9900,1927.18398000
2019-10-19,173.1300,176.0800,169.8400,171.9300,1898.85754000
2019-10-20,171.9200,176.6800,169.3900,175.4300,1687.24287000
2019-10-21,175.4200,178.0400,171.8100,174.3700,1791.41520000
2019-10-22,174.3300,175.2800,170.4900,171.3200,1790.37168000
2019-10-23,171.3700,171.5700,153.4100,162.5400,4711.06416000
