date,open,high,low,close,volume
2013-01-02,112.48,112.64,112.36,112.38,249900.0
2013-01-03,112.86,112.93,112.27,112.37,283600.0
2013-01-04,111.72,111.76,110.98,111.25,645100.0
2013-01-07,111.61,111.9,111.59,111.75,199700.0
2013-01-08,112.25,112.73,112.21,112.65,544000.0
2013-01-09,111.78,111.81,111.41,111.72,506100.0
2013-01-10,111.18,111.45,111.0,111.080002,1290800.0
2013-01-11,109.96,110.33,109.66,109.92,657100.0
2013-01-14,109.89,110.07,109.58,109.58,407600.0
2013-01-15,110.53,110.88,110.25,110.37,528600.0
2013-01-16,111.16,111.21,110.58,110.93,452400.0
2013-01-17,109.73,109.85,108.75,109.13,948900.0
2013-01-18,109.059998,109.23,108.82,108.88,779800.0
2013-01-22,110.33,110.75,110.28,110.49,948300.0
2013-01-23,110.78,110.87,110.5,110.53,781100.0
2013-01-24,109.13,109.16,108.61,108.66,586000.0
2013-01-25,107.72,108.010002,107.58,107.82,480700.0
2013-01-28,107.85,108.17,107.85,107.97,232800.0
2013-01-29,108.040001,108.36,107.94,108.050003,176400.0
2013-01-30,107.45,107.77,107.43,107.6,420300.0
2013-01-31,107.6,107.63,107.13,107.18,226000.0
2013-02-01,106.69,106.8,105.46,105.56,686600.0
2013-02-04,105.84,106.32,105.65,106.24,592400.0
2013-02-05,105.24,105.33,104.72,104.78,635400.0
2013-02-06,104.95,105.089996,104.63,104.85,430300.0
2013-02-07,104.82,105.31,104.68,104.71,675600.0
2013-02-08,105.74,105.83,105.52,105.69,588500.0
2013-02-11,104.94,105.19,104.31,104.42,298200.0
2013-02-12,104.44,105.49,104.3,104.76,2294700.0
2013-02-13,104.81,105.029999,104.73,104.85,250800.0
2013-02-14,105.099998,105.78,105.099998,105.68,572300.0
2013-02-15,104.93,105.029999,104.47,104.79,389100.0
2013-02-19,104.81,105.07,104.68,104.77,520200.0
2013-02-20,104.71,104.87,104.26,104.82,581200.0
2013-02-21,105.13,105.67,105.07,105.27,387100.0
2013-02-22,104.91,105.21,104.82,104.92,412000.0
2013-02-25,104.24,107.88,104.14,107.35,2660500.0
2013-02-26,106.53,107.52,105.99,106.55,992200.0
2013-02-27,107.3,107.55,106.040001,106.34,438000.0
2013-02-28,106.14,106.3,105.56,105.76,247300.0
2013-03-01,105.58,105.72,104.64,104.76,656300.0
2013-03-04,104.85,105.18,104.83,104.86,296300.0
2013-03-05,105.27,105.28,104.79,105.080002,316300.0
2013-03-06,104.78,104.85,104.12,104.16,538500.0
2013-03-07,103.73,103.85,103.07,103.29,584100.0
2013-03-08,101.79,102.62,101.74,102.050003,1909600.0
2013-03-11,101.96,102.059998,101.7,101.8,278200.0
2013-03-12,102.080002,102.39,101.8,102.11,521200.0
2013-03-13,101.9,102.18,101.86,102.07,279500.0
2013-03-14,101.58,102.42,101.57,102.0,648900.0
2013-03-15,102.29,103.07,102.22,102.75,1059800.0
2013-03-18,103.29,103.31,102.48,102.86,1152100.0
2013-03-19,102.79,103.42,102.73,103.11,607900.0
2013-03-20,102.48,102.72,101.91,101.99,398900.0
2013-03-21,102.97,103.63,102.7,103.26,257900.0
2013-03-22,103.22,103.92,103.18,103.72,192100.0
2013-03-25,103.38,104.73,103.38,104.059998,503700.0
2013-03-26,103.86,104.07,103.54,103.62,243000.0
2013-03-27,103.98,104.18,103.69,103.77,88800.0
2013-03-28,103.91,104.22,103.89,104.050003,131800.0
2013-04-01,104.76,105.15,104.6,104.95,317500.0
2013-04-02,105.029999,105.080002,104.71,104.82,176700.0
2013-04-03,105.11,105.69,105.089996,105.42,1243200.0
2013-04-04,102.48,102.58,101.62,101.8,784700.0
2013-04-05,101.39,101.53,100.11,100.17,1625300.0
2013-04-08,99.48,99.54,98.55,98.61,1240000.0
2013-04-09,99.010002,99.33,98.59,98.91,571000.0
2013-04-10,98.38,98.51,98.07,98.16,495000.0
2013-04-11,98.64,98.81,97.98,98.089996,644100.0
2013-04-12,98.83,99.48,98.73,99.29,685000.0
2013-04-15,100.010002,101.2,99.7,101.2,853000.0
2013-04-16,99.8,100.59,99.78,100.35,323400.0
2013-04-17,99.88,100.72,99.66,99.78,523100.0
2013-04-18,99.72,100.010002,99.63,99.74,476000.0
2013-04-19,98.77,98.96,98.25,98.44,476800.0
2013-04-22,98.38,98.94,98.36,98.65,396500.0
2013-04-23,98.65,101.059998,98.41,98.46,342200.0
2013-04-24,98.48,98.66,98.32,98.34,176900.0
2013-04-25,98.64,98.7,98.41,98.54,218200.0
2013-04-26,99.69,100.37,99.62,99.83,433100.0
2013-04-29,100.07,100.11,99.74,100.07,154400.0
2013-04-30,100.2,100.86,100.2,100.46,305900.0
2013-05-01,100.73,100.94,100.44,100.6,721500.0
2013-05-02,100.24,100.36,99.79,99.94,336200.0
2013-05-03,98.81,99.050003,98.7,98.91,569200.0
2013-05-06,98.68,98.68,98.47,98.57,125800.0
2013-05-07,98.73,99.050003,98.73,98.9,172200.0
2013-05-08,99.16,99.25,98.92,98.96,245600.0
2013-05-09,98.61,98.75,97.18,97.33,1806300.0
2013-05-10,96.47,96.49,96.059998,96.42,1056000.0
2013-05-13,96.31,96.38,96.019997,96.15,302700.0
2013-05-14,96.26,96.27,95.6,95.73,536400.0
2013-05-15,95.78,96.13,95.44,95.7,659100.0
2013-05-16,95.68,96.15,95.67,95.7,643400.0
2013-05-17,95.39,95.46,94.79,94.82,716200.0
2013-05-20,95.53,95.84,95.42,95.76,1174900.0
2013-05-21,95.3,95.75,95.2,95.55,440000.0
2013-05-22,95.089996,95.36,94.38,95.12,995500.0
2013-05-23,96.58,96.6,95.95,96.17,1211800.0
2013-05-24,96.84,97.28,96.67,96.85,888300.0
2013-05-28,95.86,96.11,95.52,95.75,452300.0
2013-05-29,96.6,97.19,96.6,96.78,633800.0
2013-05-30,96.84,97.32,96.66,97.15,612400.0
2013-05-31,97.3,97.51,96.79,97.46,592000.0
2013-06-03,97.74,99.040001,97.74,98.41,1448100.0
2013-06-04,97.65,97.95,97.54,97.87,425200.0
2013-06-05,98.25,98.91,98.23,98.75,1124700.0
2013-06-06,98.88,102.080002,98.66,100.88,5126200.0
2013-06-07,100.91,101.28,100.12,100.5,1263100.0
2013-06-10,98.8,99.38,98.62,99.15,1114400.0
2013-06-11,100.96,102.4,100.77,102.11,1977200.0
2013-06-12,101.46,102.87,101.38,101.97,1020600.0
2013-06-13,103.61,104.2,102.74,102.86,1544100.0
2013-06-14,102.81,104.15,102.7,103.75,877800.0
2013-06-17,103.31,103.81,102.78,103.61,794600.0
2013-06-18,102.45,102.98,102.3,102.71,313200.0
2013-06-19,103.010002,103.080002,100.9,101.4,907200.0
2013-06-20,100.12,100.83,99.65,100.51,1241400.0
2013-06-21,100.15,100.57,99.91,100.16,1006500.0
2013-06-24,100.16,100.7,100.040001,100.25,927500.0
2013-06-25,100.19,100.32,99.84,100.089996,418400.0
2013-06-26,100.32,100.65,99.97,100.050003,371800.0
2013-06-27,99.62,99.75,99.3,99.53,665400.0
2013-06-28,98.88,98.96,98.38,98.63,772400.0
2013-07-01,98.14,98.29,97.99,98.24,338700.0
2013-07-02,97.51,97.59,97.16,97.25,598900.0
2013-07-03,98.15,98.46,97.73,97.8,413500.0
2013-07-05,97.050003,97.18,96.69,96.7,198400.0
2013-07-08,96.86,97.089996,96.75,96.83,221800.0
2013-07-09,96.75,97.040001,96.71,96.85,356800.0
2013-07-10,97.54,98.22,97.26,97.66,478100.0
2013-07-11,98.55,99.25,98.51,98.96,375900.0
2013-07-12,98.62,98.93,98.33,98.49,237900.0
2013-07-15,97.89,98.13,97.78,98.12,193300.0
2013-07-16,98.34,98.93,98.21,98.83,201800.0
2013-07-17,98.68,98.79,97.93,98.21,307400.0
2013-07-18,97.61,97.67,97.22,97.31,276600.0
2013-07-19,97.58,97.72,97.43,97.48,378700.0
2013-07-22,98.059998,98.53,98.0,98.31,544300.0
2013-07-23,97.9,98.43,97.8,98.35,246000.0
2013-07-24,97.56,97.79,97.39,97.52,394700.0
2013-07-25,98.040001,98.66,98.019997,98.64,357200.0
2013-07-26,99.47,99.84,99.4,99.64,255300.0
2013-07-29,99.89,100.13,99.66,99.96,154100.0
2013-07-30,99.82,99.86,99.49,99.82,115200.0
2013-07-31,99.63,100.089996,99.42,99.93,117400.0
2013-08-01,98.98,99.0,98.23,98.33,274100.0
2013-08-02,98.51,99.15,98.46,98.95,138200.0
2013-08-05,99.22,99.57,99.040001,99.57,250100.0
2013-08-06,99.72,100.3,99.59,100.11,291200.0
2013-08-07,101.07,101.54,101.019997,101.41,415600.0
2013-08-08,101.65,102.080002,101.14,101.15,235400.0
2013-08-09,101.45,101.75,101.39,101.7,226600.0
2013-08-12,101.22,101.48,101.059998,101.059998,498800.0
2013-08-13,99.63,99.93,99.47,99.69,453400.0
2013-08-14,99.51,99.86,99.51,99.77,94500.0
2013-08-15,99.45,100.63,99.36,100.59,353000.0
2013-08-16,100.61,100.65,100.040001,100.31,303600.0
2013-08-19,99.96,100.38,99.7,100.35,122800.0
2013-08-20,100.68,100.95,100.5,100.59,269700.0
2013-08-21,100.23,100.3,99.86,100.040001,158900.0
2013-08-22,99.24,99.37,99.050003,99.13,183500.0
2013-08-23,98.77,99.42,98.75,99.17,124100.0
2013-08-26,99.31,99.42,99.07,99.36,98500.0
2013-08-27,100.51,100.84,100.33,100.77,259200.0
2013-08-28,100.17,100.26,99.99,100.099998,120100.0
2013-08-29,99.59,99.63,99.33,99.59,150400.0
2013-08-30,99.56,99.71,99.48,99.63,63400.0
2013-09-03,99.059998,99.059998,97.95,98.28,703100.0
2013-09-04,98.3,98.34,98.019997,98.19,121800.0
2013-09-05,98.0,98.019997,97.63,97.67,452300.0
2013-09-06,98.67,99.22,98.52,98.72,278600.0
2013-09-09,98.44,98.47,98.16,98.25,114500.0
2013-09-10,97.45,97.62,97.38,97.53,197100.0
2013-09-11,97.58,97.99,97.56,97.96,174800.0
2013-09-12,98.33,98.79,98.33,98.36,271300.0
2013-09-13,98.27,98.59,97.77,98.54,75800.0
2013-09-16,99.029999,99.080002,98.6,98.67,82000.0
2013-09-17,98.54,98.68,98.41,98.68,92400.0
2013-09-18,98.81,100.85,97.7,99.72,487900.0
2013-09-19,98.54,98.62,98.21,98.41,287400.0
2013-09-20,98.33,98.48,98.15,98.45,262700.0
2013-09-23,98.91,99.12,98.83,99.010002,236900.0
2013-09-24,99.080002,99.28,98.76,99.0,348800.0
2013-09-25,99.089996,99.36,98.81,99.36,216000.0
2013-09-26,98.83,98.97,98.65,98.86,241300.0
2013-09-27,99.32,99.66,99.32,99.52,267700.0
2013-09-30,100.13,100.14,99.3,99.47,225400.0
2013-10-01,99.87,99.98,99.45,99.95,142600.0
2013-10-02,100.51,100.66,100.21,100.41,159800.0
2013-10-03,100.14,100.86,100.14,100.54,521100.0
2013-10-04,100.77,100.83,100.33,100.35,125200.0
2013-10-07,100.95,100.98,100.6,100.96,187700.0
2013-10-08,100.73,100.96,100.68,100.89,453000.0
2013-10-09,100.47,100.64,100.14,100.45,231600.0
2013-10-10,99.73,99.81,99.49,99.53,250500.0
2013-10-11,99.46,99.49,99.17,99.18,157600.0
2013-10-14,99.6,99.65,99.18,99.18,104100.0
2013-10-15,99.2,99.57,99.040001,99.43,350400.0
2013-10-16,99.21,99.22,98.76,98.92,306100.0
2013-10-17,99.91,100.029999,99.8,99.87,195500.0
2013-10-18,100.0,100.080002,99.86,99.9,393300.0
2013-10-21,99.57,99.63,99.51,99.56,195800.0
2013-10-22,99.27,99.75,99.26,99.61,254400.0
2013-10-23,100.35,100.54,100.32,100.37,294000.0
2013-10-24,100.43,100.51,100.34,100.48,73600.0
2013-10-25,100.43,100.45,100.27,100.35,98300.0
2013-10-28,100.0,100.13,99.97,100.010002,92900.0
2013-10-29,99.8,99.89,99.48,99.55,254100.0
2013-10-30,99.52,100.68,99.010002,99.099998,452600.0
2013-10-31,99.53,99.64,99.31,99.38,292700.0
2013-11-01,99.26,99.29,98.87,98.98,656400.0
2013-11-04,99.059998,99.19,99.059998,99.089996,136300.0
2013-11-05,99.32,99.38,99.089996,99.17,308600.0
2013-11-06,99.089996,99.14,98.98,99.040001,78700.0
2013-11-07,98.53,100.12,98.46,99.73,1304800.0
2013-11-08,98.99,99.019997,98.51,98.58,603500.0
2013-11-11,98.45,98.55,98.42,98.53,105100.0
2013-11-12,98.019997,98.24,97.99,98.029999,241700.0
2013-11-13,98.23,98.53,98.12,98.33,189200.0
2013-11-14,97.66,97.93,97.59,97.73,525700.0
2013-11-15,97.55,97.62,97.39,97.5,266700.0
2013-11-18,97.78,97.88,97.54,97.83,312600.0
2013-11-19,97.63,97.78,97.49,97.54,177700.0
2013-11-20,97.79,97.89,97.5,97.76,218700.0
2013-11-21,96.78,96.87,96.6,96.69,685000.0
2013-11-22,96.65,96.69,96.41,96.42,145200.0
2013-11-25,96.040001,96.34,96.019997,96.27,315200.0
2013-11-26,96.15,96.55,96.15,96.47,176700.0
2013-11-27,95.96,95.96,95.6,95.64,315100.0
2013-11-29,95.49,95.53,95.31,95.34,287700.0
2013-12-02,94.85,95.059998,94.75,94.92,553300.0
2013-12-03,95.34,95.8,95.13,95.39,497700.0
2013-12-04,95.24,95.93,95.13,95.52,291000.0
