date,open,high,low,close,volume
2006-10-26,59.029999,59.45,58.98,59.29,5241100.0
2006-10-27,59.43,59.57,59.040001,59.4,3080700.0
2006-10-30,60.049999,60.65,59.88,59.9,4675700.0
2006-10-31,59.59,60.36,59.57,60.24,4603000.0
2006-11-01,61.029999,61.55,60.68,61.36,8172300.0
2006-11-02,61.47,62.19,61.47,61.92,6680500.0
2006-11-03,61.81,62.5,61.65,62.3,7359200.0
2006-11-06,62.17,62.34,61.85,61.89,4078400.0
2006-11-07,62.35,62.48,61.97,62.040001,5332400.0
2006-11-08,61.94,62.080002,60.87,61.11,5319300.0
2006-11-09,62.12,63.13,61.94,62.95,6634800.0
2006-11-10,62.7,62.82,62.060001,62.49,4437000.0
2006-11-13,61.93,62.25,61.77,62.19,3408800.0
2006-11-14,62.31,62.52,61.46,61.63,5706200.0
2006-11-15,61.34,62.07,61.25,61.84,3760500.0
2006-11-16,62.16,62.3,61.27,61.31,4347500.0
2006-11-17,61.4,61.78,61.34,61.78,3390900.0
2006-11-20,62.060001,62.25,61.56,61.77,2947200.0
2006-11-21,62.25,62.52,62.029999,62.27,2930400.0
2006-11-22,62.64,63.07,62.25,62.5,4863600.0
2006-11-24,63.48,63.68,63.31,63.5,6886100.0
2006-11-27,63.46,63.74,63.32,63.7,5249800.0
2006-11-28,63.6,63.71,62.82,63.57,6057400.0
2006-11-29,63.37,63.39,63.080002,63.16,4006500.0
2006-11-30,64.07,64.43,63.9,64.39,6362700.0
2006-12-01,64.2,64.55,63.99,64.12,6363800.0
2006-12-04,64.029999,64.14,63.56,64.12,3469100.0
2006-12-05,64.25,64.42,63.36,63.81,5254600.0
2006-12-06,63.080002,63.45,62.29,62.69,6386500.0
2006-12-07,62.64,62.78,61.99,62.73,5384600.0
2006-12-08,63.080002,63.34,61.87,62.049999,6080900.0
2006-12-11,62.18,62.6,62.07,62.57,3163800.0
2006-12-12,62.41,62.56,62.17,62.52,3017900.0
2006-12-13,62.099998,62.57,61.88,62.48,3595400.0
2006-12-14,62.29,62.47,62.040001,62.12,2237300.0
2006-12-15,62.21,62.22,60.93,61.0,7427800.0
2006-12-18,60.85,61.11,60.65,61.040001,3880800.0
2006-12-19,61.2,61.83,61.18,61.8,4254900.0
2006-12-20,61.64,61.8,61.45,61.62,2979300.0
2006-12-21,61.58,61.7,61.27,61.38,2483300.0
2006-12-22,61.45,61.8,61.32,61.65,1367400.0
2006-12-26,62.24,62.45,61.87,61.98,1975200.0
2006-12-27,62.3,62.46,62.17,62.22,3063500.0
2006-12-28,62.97,63.049999,62.69,62.9,2538900.0
2006-12-29,62.91,63.25,62.88,63.21,2117200.0
2007-01-03,63.58,64.019997,62.0,62.28,8061900.0
2007-01-04,62.07,62.5,61.52,61.65,4858600.0
2007-01-05,60.75,60.78,59.66,60.17,12500100.0
2007-01-08,60.38,60.54,59.85,60.48,3478700.0
2007-01-09,60.14,61.09,60.060001,60.85,4170400.0
2007-01-10,60.46,60.82,60.060001,60.59,3766000.0
2007-01-11,60.7,61.07,60.53,60.63,4640000.0
2007-01-12,61.0,62.28,60.9,62.17,5840200.0
2007-01-16,62.2,62.3,61.74,61.97,3201000.0
2007-01-17,61.97,62.9,61.97,62.64,4516200.0
2007-01-18,62.99,63.16,62.15,62.26,4460100.0
2007-01-19,62.52,63.13,62.27,63.0,3258400.0
2007-01-22,63.0099983,63.48,62.65,62.72,3941200.0
2007-01-23,63.68,64.29,63.67,64.23,6322000.0
2007-01-24,63.71,64.41,63.37,64.33,5241200.0
2007-01-25,64.8,64.88,63.98,64.059998,5985700.0
2007-01-26,64.16,64.31,63.76,64.17,3493900.0
2007-01-29,63.85,64.29,63.66,63.77,3487300.0
2007-01-30,63.92,64.23,63.83,64.22,3094200.0
2007-01-31,63.99,64.98,63.95,64.83,5900900.0
2007-02-01,65.45,65.63,65.059998,65.22,6284700.0
2007-02-02,64.76,64.8,63.8,64.28,9078500.0
2007-02-05,64.68,64.69,64.24,64.31,2553500.0
2007-02-06,65.050003,65.099998,64.53,64.79,2928800.0
2007-02-07,64.78,65.15,64.48,64.63,3075300.0
2007-02-08,64.92,65.61,64.83,65.52,4769900.0
2007-02-09,65.27,66.38,65.22,66.12,6816500.0
2007-02-12,66.0,66.11,65.41,65.67,4113500.0
