date,open,high,low,close,volume
2004-11-26,44.75,45.6,44.72,45.29,24368000.0
2004-12-03,45.1,46.0,44.68,45.6,20329800.0
2004-12-10,45.39,45.47,43.2,43.44,19066000.0
2004-12-17,43.61,44.22,43.51,44.19,11486200.0
2004-12-23,44.33,44.37,43.89,44.27,6661100.0
2004-12-31,44.29,44.56,43.35,43.8,10870100.0
2005-01-07,42.98,43.17,41.7,41.84,17289900.0
2005-01-14,41.99,42.79,41.89,42.32,6251700.0
2005-01-21,42.22,42.82,42.11,42.74,4411700.0
2005-01-28,42.74,42.82,42.1,42.69,5889500.0
2005-02-04,42.21,42.3,41.39,41.47,8003600.0
2005-02-11,41.55,42.16,41.02,42.08,16199700.0
2005-02-18,42.37,42.82,42.2,42.75,9649500.0
2005-02-25,43.39,43.63,43.15,43.5,7232700.0
2005-03-04,43.68,43.74,42.9,43.38,8028500.0
2005-03-11,43.32,44.67,43.26,44.43,11714600.0
2005-03-18,44.26,44.35,43.6,43.892,7077500.0
2005-03-24,43.24,43.25,42.35,42.39,10508700.0
2005-04-01,42.45,42.87,42.41,42.62,6914900.0
2005-04-08,42.43,42.81,42.23,42.69,8273700.0
2005-04-15,42.84,42.96,42.16,42.4,8487700.0
2005-04-22,42.55,43.52,42.52,43.39,8022900.0
2005-04-29,43.35,43.7,42.99,43.35,11197200.0
2005-05-06,43.13,43.17,42.34,42.52,7625700.0
2005-05-13,42.54,42.83,41.83,41.95,4506900.0
2005-05-20,41.77,42.11,41.61,41.65,5505400.0
2005-05-27,41.69,41.96,41.55,41.88,11016700.0
2005-06-03,41.45,42.39,41.33,42.17,14090100.0
2005-06-10,42.56,42.72,42.03,42.62,6146000.0
2005-06-17,42.81,43.85,42.58,43.63,9094200.0
2005-06-24,43.94,44.13,43.42,43.9,5414900.0
2005-07-01,43.9,43.93,42.59,42.7,6354600.0
2005-07-08,42.33,42.56,42.05,42.26,9006700.0
2005-07-15,42.33,42.64,41.7,42.05,7255800.0
2005-07-22,41.96,42.51,41.81,42.45,6766400.0
2005-07-29,42.46,42.96,42.14,42.82,9178100.0
2005-08-05,43.08,43.82,42.99,43.6,5707600.0
2005-08-12,43.52,44.72,43.166,44.49,7724400.0
2005-08-19,44.19,44.57,43.49,43.6,7302700.0
2005-08-26,43.84,43.96,43.41,43.61,5333500.0
2005-09-02,43.81,44.4,42.81,44.25,10120200.0
2005-09-09,44.42,44.87,44.19,44.84,4575500.0
2005-09-16,44.68,45.88,44.36,45.82,8468200.0
2005-09-23,46.27,47.13,45.92,46.28,16353000.0
2005-09-30,45.84,47.23,45.66,46.7,11292100.0
2005-10-07,46.62,47.48,46.14,47.36,9481700.0
2005-10-14,47.31,47.72,46.41,46.8,13117500.0
2005-10-21,47.26,47.37,45.83,46.52,9075400.0
2005-10-28,46.39,47.42,46.31,47.22,11489700.0
2005-11-04,47.02,47.04,45.32,45.51,10336000.0
2005-11-11,45.67,46.82,45.46,46.8,5061100.0
2005-11-18,46.56,48.61,46.51,48.46,10013300.0
2005-11-25,48.69,49.99,47.92,49.42,7691100.0
2005-12-02,49.3,50.34,49.06,50.32,10518800.0
2005-12-09,50.43,52.9,50.21,52.4,15549300.0
2005-12-16,53.09,53.76,49.93,50.09,28077200.0
2005-12-23,50.58,50.75,48.8,50.12,16194300.0
2005-12-30,50.65,51.72,50.5,51.58,15380700.0
2006-01-06,52.29,53.87,52.1,53.72,22186000.0
2006-01-13,53.46,55.56,53.31,55.44,23253500.0
2006-01-20,55.25,56.6,54.01,55.2,22256900.0
2006-01-27,55.59,56.53,55.26,55.63,26984700.0
2006-02-03,55.97,57.3,55.9501,56.5,23850100.0
2006-02-10,56.76,57.1499,54.33,54.79,28656200.0
2006-02-17,54.64,55.2,53.33,54.96,23064300.0
2006-02-24,55.12,55.71,54.55,55.64,14544100.0
2006-03-03,55.26,56.82,55.01,56.28,16948800.0
2006-03-10,56.3,56.45,53.15,53.83,26817900.0
2006-03-17,54.09,55.44,53.92,55.12,15382400.0
2006-03-24,55.01,55.83,54.24,55.71,15266000.0
2006-03-31,56.21,58.7,55.92,58.1,23990000.0
2006-04-07,58.63,59.34,58.0,58.59,25720300.0
2006-04-13,59.38,59.85,58.87,59.5,15227200.0
2006-04-21,60.38,63.95,60.2,63.2,42994400.0
2006-04-28,62.34,65.27,61.6,65.09,33590900.0
