date,open,high,low,close,volume
2013-01-02,94.07,94.23,93.8,94.23,3975200.0
2013-01-03,94.080002,94.29,93.88,93.94,3950700.0
2013-01-04,93.98,94.080002,93.83,94.0,2968000.0
2013-01-07,94.019997,94.089996,93.83,94.080002,4137300.0
2013-01-08,94.099998,94.12,93.93,94.010002,2179100.0
2013-01-09,94.24,94.24,94.010002,94.19,2183900.0
2013-01-10,94.33,94.38,94.2,94.35,1684300.0
2013-01-11,94.3,94.52,94.21,94.52,1982600.0
2013-01-14,94.45,94.47,94.22,94.39,2182400.0
2013-01-15,94.22,94.42,94.17,94.41,2136000.0
2013-01-16,94.28,94.4,94.17,94.25,3272700.0
2013-01-17,94.42,94.61,94.31,94.59,6058900.0
2013-01-18,94.54,94.72,94.48,94.72,2836800.0
2013-01-22,94.65,94.87,94.54,94.78,2295200.0
2013-01-23,94.71,94.79,94.65,94.67,2227900.0
2013-01-24,94.77,94.93,94.69,94.88,3175400.0
2013-01-25,94.97,94.97,94.78,94.85,2525100.0
2013-01-28,94.77,94.84,94.69,94.8,2331000.0
2013-01-29,94.71,94.75,94.54,94.64,1514300.0
2013-01-30,94.45,94.51,93.89,93.96,6595600.0
2013-01-31,93.93,94.11,93.62,93.67,5963700.0
2013-02-01,93.54,93.76,93.46,93.48,5713000.0
2013-02-04,93.29,93.4,93.010002,93.089996,3878000.0
2013-02-05,93.24,93.4,93.2,93.3,2590900.0
2013-02-06,93.16,93.29,93.059998,93.16,2850500.0
2013-02-07,93.11,93.13,92.81,92.98,4071400.0
2013-02-08,92.92,93.099998,92.91,93.0,3220400.0
2013-02-11,92.89,93.080002,92.86,92.99,3146100.0
2013-02-12,92.92,93.36,92.91,93.31,3490600.0
2013-02-13,93.42,93.48,93.17,93.45,3672200.0
2013-02-14,93.25,93.55,93.25,93.41,2731800.0
2013-02-15,93.46,93.66,93.26,93.42,2483000.0
2013-02-19,93.5,93.59,93.41,93.51,3074300.0
2013-02-20,93.58,93.72,93.4,93.42,3830300.0
2013-02-21,93.42,93.59,93.3,93.52,7185300.0
2013-02-22,93.63,93.75,93.51,93.75,3367000.0
2013-02-25,93.78,93.93,93.45,93.46,5259300.0
2013-02-26,93.64,93.92,93.47,93.92,4075600.0
2013-02-27,93.85,94.15,93.75,94.080002,3681600.0
2013-02-28,94.07,94.13,93.94,94.040001,3822000.0
2013-03-01,93.49,93.99,93.48,93.72,4833200.0
2013-03-04,93.65,93.8,93.61,93.73,2222500.0
2013-03-05,93.79,94.019997,93.79,93.92,3733400.0
2013-03-06,94.029999,94.059998,93.84,93.86,2118000.0
2013-03-07,93.95,94.0,93.9,94.0,2124900.0
2013-03-08,94.17,94.19,93.92,94.11,2464100.0
2013-03-11,94.080002,94.15,94.0,94.050003,2782800.0
2013-03-12,93.99,94.099998,93.96,94.010002,1526200.0
2013-03-13,94.099998,94.17,93.95,94.029999,1431200.0
2013-03-14,94.17,94.39,94.07,94.39,2954100.0
2013-03-15,94.25,94.4,94.2,94.38,2024300.0
2013-03-18,94.0,94.46,94.0,94.4,3000600.0
2013-03-19,94.45,94.53,94.21,94.24,3742800.0
2013-03-20,94.33,94.6,94.32,94.55,2553200.0
2013-03-21,94.37,94.56,94.22,94.38,3532400.0
2013-03-22,94.38,94.46,94.25,94.31,2201500.0
2013-03-25,94.3,94.44,94.15,94.17,2131700.0
2013-03-26,94.39,94.4,94.25,94.34,1169400.0
2013-03-27,94.19,94.29,94.17,94.18,2195100.0
2013-03-28,94.24,94.38,94.16,94.35,1959100.0
2013-04-01,93.83,94.089996,93.65,94.029999,3823000.0
2013-04-02,93.95,94.18,93.92,93.96,2528700.0
2013-04-03,93.99,94.050003,93.78,93.96,2773100.0
2013-04-04,93.92,94.15,93.87,93.93,3040600.0
2013-04-05,93.77,94.019997,93.68,94.019997,2243800.0
2013-04-08,94.07,94.15,93.95,94.12,2346800.0
2013-04-09,94.2,94.42,94.12,94.42,2985400.0
2013-04-10,94.35,94.76,94.35,94.72,2932600.0
2013-04-11,94.75,94.79,94.64,94.72,2676200.0
2013-04-12,94.64,94.81,94.55,94.75,2040900.0
2013-04-15,94.75,94.75,94.13,94.15,3910600.0
2013-04-16,94.41,94.81,94.32,94.8,4138300.0
2013-04-17,94.61,94.67,94.4,94.65,5778600.0
2013-04-18,94.61,94.67,94.46,94.5,2476900.0
2013-04-19,94.6,94.66,94.43,94.45,2474800.0
2013-04-22,94.69,94.89,94.53,94.67,3641900.0
2013-04-23,94.77,95.050003,94.77,95.040001,2217400.0
2013-04-24,95.089996,95.26,95.010002,95.21,3872600.0
2013-04-25,95.22,95.52,95.14,95.47,2453100.0
2013-04-26,95.46,95.48,95.33,95.37,2679000.0
2013-04-29,95.39,95.59,95.38,95.55,1785300.0
2013-04-30,95.63,95.85,95.55,95.85,2953100.0
2013-05-01,95.34,95.56,95.18,95.2,4812400.0
2013-05-02,95.5,95.83,95.37,95.81,3368200.0
2013-05-03,95.97,96.13,95.86,95.96,2407400.0
2013-05-06,95.92,96.059998,95.88,96.019997,1458700.0
2013-05-07,96.12,96.15,95.92,95.95,2590900.0
2013-05-08,96.019997,96.3,96.019997,96.29,3801200.0
2013-05-09,96.2,96.29,96.0,96.010002,1644900.0
2013-05-10,96.050003,96.050003,95.46,95.51,4654400.0
2013-05-13,95.41,95.5,95.11,95.12,2710000.0
2013-05-14,95.2,95.46,95.11,95.22,4473900.0
2013-05-15,95.22,95.34,95.089996,95.23,3179800.0
2013-05-16,95.29,95.64,95.18,95.46,6036800.0
2013-05-17,95.6,95.63,95.34,95.46,4313300.0
2013-05-20,95.46,95.64,95.36,95.56,2086200.0
2013-05-21,95.56,95.78,95.54,95.74,4666500.0
2013-05-22,95.72,95.88,95.099998,95.15,5243800.0
2013-05-23,95.0,95.019997,94.69,94.89,3294400.0
2013-05-24,94.75,94.79,94.67,94.71,3420400.0
2013-05-28,95.029999,95.029999,94.31,94.36,3486700.0
2013-05-29,94.040001,94.26,93.55,93.98,10958100.0
2013-05-30,94.0,94.36,93.69,94.17,5462100.0
2013-05-31,93.97,94.11,92.9,92.92,6809400.0
2013-06-03,92.38,92.52,91.8,92.36,14320900.0
2013-06-04,92.5,93.050003,92.19,92.36,7927000.0
2013-06-05,92.19,92.24,91.44,91.56,10309200.0
2013-06-06,91.4,92.59,91.32,92.28,11849800.0
2013-06-07,92.44,92.97,92.2,92.34,8879800.0
2013-06-10,92.34,92.59,92.080002,92.15,7678000.0
2013-06-11,91.58,92.24,91.29,91.58,9065200.0
2013-06-12,91.93,92.12,91.63,91.65,9193300.0
2013-06-13,91.65,92.82,91.65,92.7,7526400.0
2013-06-14,92.78,92.94,92.55,92.81,3909200.0
2013-06-17,92.93,93.45,92.8,92.8,3830700.0
2013-06-18,92.76,93.11,92.76,93.029999,3609700.0
2013-06-19,92.95,93.27,91.62,91.64,7971700.0
2013-06-20,91.089996,91.58,90.28,90.74,11094000.0
2013-06-21,91.010002,91.11,90.12,90.15,9245400.0
2013-06-24,89.45,90.0,88.27,89.040001,12116100.0
2013-06-25,89.5,90.31,89.5,90.31,6233300.0
2013-06-26,90.7,91.18,90.57,91.059998,5527200.0
2013-06-27,91.4,91.94,91.4,91.5,5578600.0
2013-06-28,91.3,91.32,90.47,90.88,6112000.0
2013-07-01,90.57,90.99,90.5,90.89,5213400.0
2013-07-02,90.79,91.050003,90.35,90.61,3799800.0
2013-07-03,90.29,90.86,90.28,90.82,1679600.0
2013-07-05,90.39,90.44,89.63,89.85,3312600.0
2013-07-08,90.089996,91.089996,90.0,91.089996,5638400.0
2013-07-09,91.099998,91.19,90.87,91.14,6127700.0
2013-07-10,91.18,91.54,91.080002,91.5,6529900.0
2013-07-11,92.18,92.67,92.0,92.65,5865400.0
2013-07-12,92.41,92.67,92.25,92.56,5788300.0
2013-07-15,92.67,93.089996,92.56,92.95,6791500.0
2013-07-16,93.089996,93.089996,92.47,92.72,3292100.0
2013-07-17,93.029999,93.52,93.0,93.4,8660500.0
2013-07-18,93.5,94.0,93.44,93.96,6825000.0
2013-07-19,93.95,93.97,93.77,93.9,2603100.0
2013-07-22,93.93,94.010002,93.75,93.97,3888200.0
2013-07-23,93.89,93.98,93.67,93.74,2483700.0
2013-07-24,93.54,93.64,92.66,92.95,5249800.0
2013-07-25,92.51,92.88,92.44,92.74,5995400.0
2013-07-26,92.48,92.78,92.39,92.78,4213600.0
2013-07-29,92.6,92.73,92.42,92.58,3850100.0
2013-07-30,92.52,92.87,92.52,92.71,4239400.0
2013-07-31,92.49,93.010002,92.28,92.98,4076500.0
2013-08-01,92.42,92.59,91.61,91.65,4616600.0
2013-08-02,91.96,92.26,91.81,92.21,4309400.0
2013-08-05,92.18,92.18,91.7,91.74,2231000.0
2013-08-06,91.93,91.93,91.36,91.65,3398800.0
2013-08-07,91.45,91.54,91.29,91.36,2253300.0
2013-08-08,91.42,91.59,91.38,91.56,2857100.0
2013-08-09,91.43,91.67,91.12,91.57,1765600.0
2013-08-12,91.44,91.72,91.42,91.49,3840800.0
2013-08-13,91.48,91.57,91.3,91.49,2290500.0
2013-08-14,91.43,91.49,91.26,91.31,4605800.0
2013-08-15,91.0,91.089996,90.75,90.84,6446100.0
2013-08-16,90.97,91.099998,90.42,90.53,6922400.0
2013-08-19,90.57,90.63,89.8,89.93,6536300.0
2013-08-20,90.3,90.86,90.28,90.76,4208300.0
2013-08-21,90.67,90.78,90.37,90.43,3098100.0
2013-08-22,90.57,90.92,90.49,90.92,4049900.0
2013-08-23,90.9,91.36,90.85,91.3,3370400.0
