date,open,high,low,close,volume
2013-01-02,30.38,30.47,29.89,29.92,15631200.0
2013-01-03,29.84,30.040001,29.030001,29.18,20462300.0
2013-01-04,28.83,29.3,28.61,29.24,18624800.0
2013-01-07,28.98,29.26,28.95,29.18,7443300.0
2013-01-08,29.46,29.59,29.19,29.38,9075100.0
2013-01-09,29.33,29.4,29.08,29.35,7251900.0
2013-01-10,29.67,29.94,29.65,29.78,9906900.0
2013-01-11,29.73,29.74,29.17,29.48,12084100.0
2013-01-14,30.09,30.14,29.75,30.040001,12731800.0
2013-01-15,30.22,30.56,30.1,30.36,8996000.0
2013-01-16,30.25,30.53,30.15,30.45,7381600.0
2013-01-17,30.16,30.88,30.13,30.67,16090100.0
2013-01-18,31.030001,31.040001,30.66,30.81,9889900.0
2013-01-22,30.88,31.3,30.86,31.12,9293700.0
2013-01-23,31.29,31.41,31.049999,31.19,10289300.0
2013-01-24,30.74,30.92,30.56,30.65,9887800.0
2013-01-25,30.44,30.5,30.1,30.21,11499600.0
2013-01-28,29.95,30.049999,29.73,29.85,8897500.0
2013-01-29,30.11,30.44,30.08,30.32,9367300.0
2013-01-30,30.84,31.22,30.77,30.92,16489500.0
2013-01-31,30.75,30.82,30.09,30.44,14939500.0
2013-02-01,31.02,31.049999,30.46,30.78,12438300.0
2013-02-04,30.44,30.87,30.42,30.69,7131100.0
2013-02-05,30.9,30.94,30.58,30.76,7331600.0
2013-02-06,30.64,30.85,30.61,30.81,5899000.0
2013-02-07,30.37,30.85,30.31,30.46,11776300.0
2013-02-08,30.41,30.65,30.29,30.43,5388900.0
2013-02-11,30.02,30.08,29.81,30.0,10465500.0
2013-02-12,29.81,30.13,29.72,30.09,6681300.0
2013-02-13,30.040001,30.040001,29.73,29.77,7364500.0
2013-02-14,29.92,29.98,29.24,29.46,15703300.0
2013-02-15,29.049999,29.14,28.71,28.83,20810400.0
2013-02-19,28.86,28.89,28.26,28.45,18772200.0
2013-02-20,28.030001,28.049999,27.35,27.59,26946700.0
2013-02-21,27.64,27.91,27.62,27.73,14454500.0
2013-02-22,27.63,27.83,27.43,27.83,10443300.0
2013-02-25,27.99,28.19,27.96,28.07,10895300.0
2013-02-26,27.97,28.5,27.64,28.41,16452700.0
2013-02-27,28.2,28.26,27.9,28.01,8107300.0
2013-02-28,27.98,28.0,27.46,27.54,11474000.0
2013-03-01,27.67,27.8,27.48,27.62,8440000.0
2013-03-04,27.62,27.74,27.49,27.6,6213900.0
2013-03-05,28.02,28.1,27.58,27.75,6302300.0
2013-03-06,27.71,28.15,27.59,28.1,10348200.0
2013-03-07,28.049999,28.09,27.81,27.91,6113000.0
2013-03-08,27.58,28.3,27.53,28.01,11546600.0
2013-03-11,27.87,28.040001,27.82,28.02,4183200.0
2013-03-12,28.23,28.39,28.17,28.2,5442600.0
2013-03-13,28.22,28.3,27.9,27.94,8153800.0
2013-03-14,27.7,27.94,27.69,27.8,7311000.0
2013-03-15,27.88,28.059999,27.77,27.8,5452000.0
2013-03-18,28.02,28.08,27.87,27.95,6173900.0
2013-03-19,27.88,28.14,27.84,27.93,8780200.0
2013-03-20,27.87,27.91,27.51,27.81,5345800.0
2013-03-21,28.24,28.33,28.16,28.18,6357700.0
2013-03-22,27.73,27.91,27.69,27.75,7252100.0
2013-03-25,27.81,27.95,27.7,27.84,5048300.0
2013-03-26,27.8,27.85,27.68,27.75,5180300.0
2013-03-27,27.38,27.82,27.17,27.73,8819300.0
2013-03-28,27.52,27.68,27.26,27.42,6130200.0
2013-04-01,27.08,27.15,26.92,27.09,8119500.0
2013-04-02,26.65,26.72,26.3,26.35,13641400.0
2013-04-03,26.33,26.43,25.84,26.09,13189100.0
2013-04-04,25.86,26.09,25.74,25.99,12008500.0
2013-04-05,26.21,26.44,26.09,26.39,9919800.0
2013-04-08,26.34,26.4,26.22,26.32,5083900.0
2013-04-09,26.5,27.14,26.46,27.030001,11497700.0
2013-04-10,26.96,27.0,26.59,26.68,7726400.0
2013-04-11,26.68,26.91,26.63,26.7,5465700.0
2013-04-12,26.059999,26.13,25.17,25.28,34384700.0
2013-04-15,22.98,23.1,21.96,22.09,53812700.0
2013-04-16,22.96,23.01,22.43,22.67,22201800.0
2013-04-17,22.6,22.91,22.3,22.44,18680200.0
2013-04-18,22.42,22.66,22.33,22.4,13548300.0
2013-04-19,22.65,22.68,22.15,22.4,11536600.0
2013-04-22,22.74,22.78,22.5,22.62,9242900.0
2013-04-23,22.2,22.27,21.99,22.18,13410600.0
2013-04-24,22.34,22.48,22.09,22.42,11084900.0
2013-04-25,22.84,23.56,22.78,23.49,20089600.0
2013-04-26,23.48,23.7,22.84,23.1,20211300.0
2013-04-29,23.43,23.66,23.27,23.54,8614300.0
2013-04-30,23.5,23.5,23.22,23.46,9539500.0
2013-05-01,22.69,23.13,22.47,22.86,17057000.0
2013-05-02,23.19,23.27,22.93,23.02,8023300.0
2013-05-03,23.13,23.57,23.02,23.29,11287900.0
2013-05-06,23.23,23.28,23.040001,23.18,4857300.0
2013-05-07,22.79,23.16,22.69,23.1,10946100.0
2013-05-08,23.09,23.19,22.88,23.12,9320600.0
2013-05-09,22.99,23.17,22.75,22.89,10690900.0
2013-05-10,22.5,23.02,22.4,22.98,11921500.0
2013-05-13,22.97,23.02,22.8,22.83,6347400.0
2013-05-14,22.51,22.86,22.51,22.57,12116000.0
2013-05-15,22.16,22.24,21.73,21.76,23010800.0
2013-05-16,21.71,22.049999,21.66,21.95,11595300.0
