date,open,high,low,close,volume
2013-01-02,291.51999,292.32001,286.079987,291.84,977069.0
2013-01-03,286.72,291.51999,285.28,287.040009,474563.0
2013-01-04,292.79999,297.12,291.35999,294.72,474663.0
2013-01-07,300.64001,301.60001,291.67999,294.39999,394550.0
2013-01-08,291.20001,294.56,288.48001,290.72,560644.0
2013-01-09,283.84,285.76001,278.079987,281.12,956581.0
2013-01-10,282.72,288.95999,282.079987,287.20001,559288.0
2013-01-11,294.39999,300.79999,292.95999,299.51999,864038.0
2013-01-14,304.95999,307.040009,303.040009,303.67999,439931.0
2013-01-15,304.0,311.84,301.44,309.60001,350831.0
2013-01-16,309.44,311.040009,303.040009,309.12,318188.0
2013-01-17,307.67999,317.60001,306.079987,313.92001,539350.0
2013-01-18,315.67999,321.92001,314.079987,321.60001,463756.0
2013-01-22,321.60001,323.20001,315.040009,319.51999,548344.0
2013-01-23,317.76001,322.39999,316.79999,320.0,306119.0
2013-01-24,320.64001,323.040009,310.39999,312.48001,631894.0
2013-01-25,312.16,314.56,309.28,312.32001,269038.0
2013-01-28,299.20001,300.79999,296.79999,296.79999,682919.0
2013-01-29,293.28,296.95999,292.16,293.76001,350538.0
2013-01-30,296.32001,300.95999,294.72,300.32001,314550.0
2013-01-31,298.23999,305.44,291.84,300.16,934981.0
2013-02-01,301.60001,304.95999,295.20001,296.64001,322944.0
2013-02-04,296.16,301.76001,296.0,298.72,194675.0
2013-02-05,300.32001,308.16,298.56,306.88,342125.0
2013-02-06,309.76001,311.20001,307.20001,309.76001,245938.0
2013-02-07,307.51999,308.48001,295.51999,296.64001,421438.0
2013-02-08,297.60001,299.35999,293.12,293.76001,212944.0
2013-02-11,290.23999,296.48001,289.76001,295.20001,273806.0
2013-02-12,295.67999,297.12,290.079987,292.32001,171669.0
2013-02-13,293.76001,298.88,293.12,296.32001,219981.0
2013-02-14,293.92001,295.35999,282.39999,285.44,726125.0
2013-02-15,286.23999,287.20001,283.040009,284.48001,207369.0
2013-02-19,290.72,294.079987,289.92001,292.79999,547931.0
2013-02-20,294.72,295.20001,292.0,293.12,212525.0
2013-02-21,291.20001,296.95999,288.64001,290.39999,453094.0
2013-02-22,291.51999,295.35999,289.76001,293.76001,151813.0
2013-02-25,303.67999,306.39999,301.44,305.28,550381.0
2013-02-26,304.95999,306.72,302.23999,303.67999,256631.0
2013-02-27,307.35999,313.12,300.64001,301.12,455863.0
2013-02-28,303.20001,309.12,299.84,306.88,402525.0
2013-03-01,306.72,310.23999,303.20001,305.12,167419.0
2013-03-04,308.0,311.67999,306.72,311.20001,197956.0
2013-03-05,314.56,316.64001,309.44,310.39999,257750.0
2013-03-06,309.60001,311.84,305.12,306.88,264738.0
2013-03-07,308.16,317.44,307.84,315.35999,443738.0
2013-03-08,315.67999,320.32001,315.20001,320.16,258156.0
2013-03-11,317.44,321.60001,317.28,320.64001,175519.0
2013-03-12,321.44,323.040009,318.88,319.84,176063.0
2013-03-13,323.51999,325.44,322.079987,324.16,142206.0
2013-03-14,328.79999,337.12,328.48001,336.64001,373550.0
2013-03-15,341.76001,345.12,337.44,338.72,387219.0
2013-03-18,346.56,348.64001,339.20001,340.16,356963.0
2013-03-19,342.88,348.64001,342.39999,347.67999,376806.0
2013-03-20,344.32001,357.60001,343.040009,346.079987,310725.0
2013-03-21,349.12,352.95999,341.28,344.32001,568469.0
2013-03-22,350.72,351.20001,343.51999,345.44,302950.0
2013-03-25,348.79999,349.28,338.72,339.20001,270713.0
2013-03-26,340.79999,348.32001,339.51999,347.67999,310575.0
2013-03-27,352.64001,357.60001,351.35999,355.84,440231.0
2013-03-28,352.64001,358.079987,346.23999,350.079987,553781.0
2013-04-01,345.60001,352.32001,345.60001,351.51999,227131.0
2013-04-02,346.39999,348.16,343.67999,345.60001,208988.0
2013-04-03,344.16,346.079987,339.67999,340.16,200794.0
2013-04-04,341.92001,346.72,336.64001,343.84,367831.0
2013-04-05,353.28,360.32001,351.040009,359.35999,800788.0
2013-04-08,361.76001,364.16,352.79999,355.84,357200.0
