date,open,high,low,close,volume
2013-01-02,21.74,21.85,21.72,21.82,898700.0
2013-01-03,21.9,22.0,21.89,21.99,1314200.0
2013-01-04,22.030001,22.049999,21.98,21.99,1087600.0
2013-01-07,21.99,22.01,21.92,21.92,1973600.0
2013-01-08,21.96,21.99,21.95,21.95,1172100.0
2013-01-09,22.02,22.040001,21.99,22.02,832400.0
2013-01-10,21.87,21.88,21.77,21.8,2258100.0
2013-01-11,21.71,21.76,21.7,21.74,1126900.0
2013-01-14,21.73,21.75,21.69,21.71,879800.0
2013-01-15,21.75,21.81,21.72,21.77,1684000.0
2013-01-16,21.78,21.81,21.77,21.79,1140900.0
2013-01-17,21.77,21.79,21.74,21.75,416900.0
2013-01-18,21.84,21.91,21.83,21.85,722800.0
2013-01-22,21.83,21.86,21.81,21.83,747900.0
2013-01-23,21.8,21.88,21.79,21.83,748300.0
2013-01-24,21.86,21.87,21.81,21.83,255600.0
2013-01-25,21.79,21.8,21.76,21.78,996000.0
2013-01-28,21.78,21.81,21.78,21.79,191200.0
2013-01-29,21.76,21.77,21.71,21.73,890800.0
2013-01-30,21.67,21.68,21.61,21.64,2960500.0
2013-01-31,21.64,21.65,21.6,21.62,1539900.0
2013-02-01,21.59,21.64,21.53,21.6,1045700.0
2013-02-04,21.69,21.73,21.66,21.71,846700.0
2013-02-05,21.76,21.78,21.68,21.7,594500.0
2013-02-06,21.78,21.79,21.75,21.77,738700.0
2013-02-07,21.84,21.92,21.83,21.89,1216100.0
2013-02-08,21.88,21.92,21.86,21.9,900500.0
2013-02-11,21.92,21.95,21.89,21.92,1008700.0
2013-02-12,21.91,21.92,21.82,21.87,487100.0
2013-02-13,21.85,21.89,21.83,21.88,224900.0
2013-02-14,21.98,21.99,21.93,21.94,621700.0
2013-02-15,21.98,22.0,21.96,21.96,1042200.0
2013-02-19,22.0,22.01,21.96,21.97,522300.0
2013-02-20,22.0,22.15,22.0,22.13,1373200.0
2013-02-21,22.2,22.25,22.16,22.22,1818900.0
2013-02-22,22.24,22.28,22.22,22.23,437100.0
2013-02-25,22.17,22.36,22.16,22.32,3314000.0
2013-02-26,22.31,22.36,22.26,22.34,988300.0
2013-02-27,22.29,22.31,22.24,22.25,1192500.0
2013-02-28,22.3,22.38,22.28,22.37,1144000.0
2013-03-01,22.47,22.52,22.43,22.44,3861200.0
2013-03-04,22.47,22.48,22.41,22.43,1776600.0
2013-03-05,22.37,22.44,22.36,22.4,730500.0
2013-03-06,22.43,22.51,22.43,22.49,1083300.0
2013-03-07,22.4,22.41,22.35,22.39,633800.0
2013-03-08,22.57,22.6,22.53,22.56,855600.0
2013-03-11,22.57,22.58,22.51,22.51,601900.0
2013-03-12,22.47,22.53,22.47,22.5,213700.0
2013-03-13,22.57,22.64,22.56,22.59,504900.0
