date,open,high,low,close,volume
2013-01-02,66.93,67.089996,66.21,66.62,5286400.0
2013-01-03,66.62,66.94,66.49,66.61,3571000.0
2013-01-04,66.81,66.95,66.52,66.92,2338700.0
2013-01-07,66.94,67.12,66.76,67.07,2243600.0
2013-01-08,67.080002,67.2,66.74,66.94,1533700.0
2013-01-09,67.16,67.22,66.93,67.13,2134400.0
2013-01-10,67.36,67.55,66.94,67.2,2824100.0
2013-01-11,67.29,67.37,66.9,67.16,2022000.0
2013-01-14,67.34,67.36,67.15,67.35,1787200.0
2013-01-15,67.29,67.76,67.15,67.67,2101400.0
2013-01-16,67.56,67.63,67.38,67.59,2384800.0
2013-01-17,67.88,67.92,67.72,67.8,2421900.0
2013-01-18,67.89,68.089996,67.66,68.089996,2277500.0
2013-01-22,68.15,68.45,68.010002,68.44,2187400.0
2013-01-23,68.48,68.53,68.26,68.42,2383100.0
2013-01-24,68.6,68.74,68.33,68.56,2346200.0
2013-01-25,68.8,68.99,68.61,68.95,2095600.0
2013-01-28,69.17,69.29,68.81,69.13,3364700.0
2013-01-29,69.17,69.33,69.059998,69.33,2343700.0
2013-01-30,69.31,69.31,68.54,68.67,1872600.0
2013-01-31,68.52,68.61,68.089996,68.26,2186400.0
2013-02-01,68.62,68.86,68.35,68.66,3376600.0
2013-02-04,68.42,68.77,68.29,68.5,2827500.0
2013-02-05,68.75,68.79,68.25,68.34,2401200.0
2013-02-06,68.18,68.59,68.029999,68.58,8277600.0
2013-02-07,68.58,68.7,68.11,68.29,1793400.0
2013-02-08,68.44,68.92,68.37,68.92,2799900.0
2013-02-11,68.85,69.089996,68.8,69.019997,2177700.0
2013-02-12,69.16,69.55,69.010002,69.54,2357700.0
2013-02-13,69.71,69.73,69.31,69.5,2525900.0
2013-02-14,69.47,69.49,69.17,69.21,2169200.0
2013-02-15,69.33,69.34,68.97,69.24,1504200.0
2013-02-19,69.45,69.8,69.36,69.79,1673700.0
2013-02-20,69.83,70.07,69.34,69.34,1764500.0
2013-02-21,69.31,69.36,68.66,68.82,2185700.0
2013-02-22,69.15,69.51,69.040001,69.51,1941400.0
2013-02-25,69.74,69.82,68.19,68.19,2550400.0
2013-02-26,68.54,68.85,68.12,68.66,2382800.0
2013-02-27,68.76,69.48,68.56,69.16,1551400.0
2013-02-28,69.16,69.46,69.059998,69.089996,4566400.0
2013-03-01,68.91,69.41,68.56,69.32,3862400.0
2013-03-04,69.28,70.019997,69.28,69.84,3141000.0
2013-03-05,70.15,70.54,69.83,70.39,2835800.0
2013-03-06,70.61,70.74,69.92,70.18,3021800.0
2013-03-07,70.41,70.41,69.79,69.85,1923300.0
2013-03-08,70.22,70.23,69.53,69.97,2473300.0
2013-03-11,69.97,70.12,69.71,70.029999,1712600.0
2013-03-12,70.13,70.13,69.65,69.77,2190100.0
2013-03-13,69.8,70.029999,69.56,69.84,1785000.0
2013-03-14,69.95,70.37,69.86,70.28,2647700.0
2013-03-15,70.21,70.47,69.92,70.44,2243800.0
2013-03-18,69.88,70.28,69.87,70.050003,2398300.0
2013-03-19,70.080002,70.23,69.27,69.71,3055200.0
2013-03-20,69.98,70.07,69.69,69.93,3110100.0
2013-03-21,69.7,70.2,69.67,69.72,1723800.0
2013-03-22,69.4,69.64,69.26,69.55,3143500.0
2013-03-25,69.67,70.0,69.42,69.56,2676500.0
2013-03-26,69.75,70.21,69.75,70.16,1722600.0
2013-03-27,69.95,70.29,69.8,70.29,2463100.0
2013-03-28,70.36,70.58,70.099998,70.53,2632300.0
2013-04-01,70.66,70.77,70.11,70.74,2501200.0
2013-04-02,70.98,71.3,70.79,70.96,2546100.0
2013-04-03,71.2,71.27,70.56,70.71,2215900.0
2013-04-04,70.84,71.94,70.76,71.86,1905200.0
2013-04-05,71.22,72.25,71.089996,72.25,2288300.0
2013-04-08,72.28,72.9,71.83,72.83,1773500.0
2013-04-09,73.089996,73.15,72.46,72.84,2537900.0
2013-04-10,73.12,73.41,72.9,73.29,2088000.0
2013-04-11,73.45,74.080002,73.25,73.72,2425000.0
2013-04-12,73.71,73.94,73.51,73.9,1618800.0
2013-04-15,73.65,73.82,72.37,72.37,3345500.0
2013-04-16,72.89,73.65,72.34,73.57,3296300.0
2013-04-17,73.3,73.38,72.27,72.79,3039700.0
2013-04-18,72.95,73.019997,72.33,72.68,2616900.0
2013-04-19,72.95,73.85,72.76,73.8,1621200.0
2013-04-22,74.010002,74.080002,73.28,73.7,2638500.0
2013-04-23,74.059998,74.26,73.58,74.11,3312300.0
2013-04-24,74.18,74.4,73.95,74.27,1750700.0
2013-04-25,74.37,74.41,73.62,74.019997,2981700.0
2013-04-26,73.95,74.28,73.71,73.78,2601000.0
2013-04-29,74.36,74.47,73.85,74.41,1889800.0
2013-04-30,74.45,75.29,74.37,75.28,2439700.0
2013-05-01,75.39,75.43,74.53,74.68,6260100.0
2013-05-02,74.79,75.47,74.79,75.17,2590600.0
2013-05-03,75.68,75.87,75.32,75.47,2878800.0
2013-05-06,75.48,75.92,75.48,75.86,2427700.0
2013-05-07,75.97,76.32,75.71,76.28,2442800.0
2013-05-08,76.19,76.48,75.9,76.32,2703100.0
2013-05-09,76.15,76.34,75.71,75.82,2255800.0
2013-05-10,76.040001,76.17,75.75,76.099998,1706300.0
2013-05-13,76.059998,76.51,76.040001,76.46,2114100.0
2013-05-14,76.48,76.95,76.45,76.74,2081600.0
2013-05-15,76.8,77.5,76.44,77.5,2836800.0
2013-05-16,77.39,77.71,76.86,77.099998,2485200.0
2013-05-17,77.29,77.57,77.050003,77.53,1717700.0
2013-05-20,77.66,77.77,77.37,77.71,2534100.0
2013-05-21,77.9,78.33,77.87,78.15,2321300.0
2013-05-22,78.029999,78.86,75.75,76.25,5514100.0
2013-05-23,75.63,75.63,74.35,74.82,5071800.0
2013-05-24,74.56,74.78,73.78,74.63,3020000.0
2013-05-28,75.49,75.6,73.55,73.99,3666200.0
2013-05-29,73.41,73.47,71.54,72.42,5983200.0
2013-05-30,72.31,72.95,71.66,71.74,3753500.0
2013-05-31,71.48,72.16,70.75,70.78,6474200.0
2013-06-03,70.76,71.5,70.099998,71.18,6934600.0
2013-06-04,71.28,71.48,70.19,70.19,4116400.0
2013-06-05,70.050003,70.47,69.4,69.61,4197000.0
2013-06-06,69.66,70.81,69.15,70.73,5111000.0
2013-06-07,70.95,71.13,69.75,70.74,3588900.0
2013-06-10,70.9,70.96,69.98,70.13,3347500.0
2013-06-11,69.35,69.95,69.059998,69.089996,4747000.0
2013-06-12,69.48,69.62,67.93,68.15,3558600.0
2013-06-13,67.86,70.14,67.8,69.92,4603500.0
2013-06-14,69.99,71.040001,69.74,70.18,3547000.0
2013-06-17,70.69,71.080002,69.93,70.38,4148100.0
2013-06-18,70.49,71.2,70.099998,70.74,4303700.0
2013-06-19,70.51,70.93,68.35,68.57,4929600.0
2013-06-20,67.78,67.91,65.39,65.72,8148100.0
2013-06-21,66.23,67.17,65.41,66.61,7812200.0
2013-06-24,64.83,67.099998,64.28,65.68,8414700.0
2013-06-25,66.44,67.18,65.69,66.78,11383300.0
2013-06-26,67.53,67.97,67.33,67.79,6721700.0
2013-06-27,68.34,69.18,68.21,69.15,5114900.0
2013-06-28,68.89,69.35,68.39,68.72,6234200.0
2013-07-01,69.26,69.53,68.37,68.57,3141000.0
2013-07-02,68.67,69.68,67.92,69.62,3707600.0
2013-07-03,69.39,69.39,68.34,69.16,2446400.0
2013-07-05,69.15,69.26,67.37,68.83,2506100.0
2013-07-08,69.089996,69.56,68.84,68.9,2918000.0
2013-07-09,69.3,70.14,68.97,69.88,1955900.0
2013-07-10,69.87,70.080002,69.35,69.91,3267800.0
2013-07-11,70.95,71.67,70.72,71.6,3844300.0
2013-07-12,71.83,71.9,70.88,71.16,3398200.0
2013-07-15,71.38,71.69,71.040001,71.46,2942200.0
2013-07-16,71.38,71.8,71.31,71.51,2946400.0
2013-07-17,71.83,71.97,71.42,71.77,2209600.0
2013-07-18,72.089996,72.41,71.77,72.38,1931600.0
2013-07-19,72.31,72.51,72.019997,72.33,1864400.0
2013-07-22,72.38,72.69,72.099998,72.55,1934800.0
2013-07-23,72.78,72.86,72.21,72.47,1402800.0
2013-07-24,72.6,72.7,70.57,71.059998,3115300.0
2013-07-25,70.99,71.28,70.59,71.17,1760800.0
2013-07-26,70.95,71.35,70.66,71.23,1586800.0
2013-07-29,71.07,71.4,70.59,70.7,3562300.0
2013-07-30,70.9,71.33,70.25,70.49,2362600.0
2013-07-31,70.33,70.73,68.77,69.34,3443900.0
2013-08-01,69.61,69.81,68.89,69.07,3445000.0
2013-08-02,69.24,69.35,68.71,68.73,2578300.0
2013-08-05,68.54,68.98,68.47,68.68,2831300.0
2013-08-06,68.6,68.97,68.33,68.44,3889300.0
2013-08-07,68.64,68.7,67.92,68.26,2021200.0
2013-08-08,68.47,68.64,67.93,68.29,2476400.0
2013-08-09,68.2,69.28,68.099998,68.89,2893000.0
2013-08-12,68.81,68.81,68.089996,68.4,2709000.0
2013-08-13,68.4,68.5,67.27,67.46,3778200.0
2013-08-14,67.4,67.62,67.15,67.2,2538300.0
2013-08-15,66.65,66.82,65.72,65.97,3630500.0
2013-08-16,65.92,65.92,64.24,64.35,4256700.0
2013-08-19,64.38,64.38,63.47,63.5,4763500.0
2013-08-20,63.87,65.22,63.65,64.94,4124500.0
2013-08-21,64.36,65.82,64.0,64.79,4437200.0
2013-08-22,64.95,65.21,64.43,65.18,2499500.0
2013-08-23,65.22,65.88,64.94,65.86,2917800.0
2013-08-26,65.86,66.0,65.47,65.67,2925200.0
2013-08-27,65.089996,65.74,65.0,65.35,3355100.0
2013-08-28,65.47,65.47,64.81,64.95,2142600.0
2013-08-29,64.77,65.059998,64.48,65.050003,2334600.0
2013-08-30,65.21,65.47,64.41,64.5,3852400.0
2013-09-03,64.75,64.99,63.4,63.94,6455100.0
2013-09-04,64.0,64.71,63.71,64.49,4261500.0
2013-09-05,64.55,64.55,63.74,63.81,3024700.0
2013-09-06,64.39,65.38,64.39,64.8,4582200.0
2013-09-09,64.87,66.15,64.83,66.15,3579700.0
2013-09-10,66.31,66.5,65.72,66.099998,2905300.0
2013-09-11,66.16,66.63,66.050003,66.63,2568000.0
2013-09-12,66.65,67.0,66.080002,66.2,2628600.0
2013-09-13,66.29,66.52,66.059998,66.39,2582600.0
2013-09-16,67.37,67.93,66.88,67.050003,4413800.0
