date,open,high,low,close,volume
2013-01-02,45.13,45.48,45.12,45.47,25446200.0
2013-01-03,45.16,45.54,45.11,45.2,47765500.0
2013-01-04,44.98,45.29,44.94,45.28,19000300.0
2013-01-07,44.9,44.97,44.81,44.89,16385200.0
2013-01-08,44.71,44.75,44.4,44.52,16626800.0
2013-01-09,44.7,44.84,44.66,44.78,15458300.0
2013-01-10,45.049999,45.22,44.86,45.18,22008300.0
2013-01-11,44.79,44.87,44.68,44.84,20592300.0
2013-01-14,45.02,45.07,44.8,45.02,14793500.0
2013-01-15,44.75,44.85,44.61,44.85,15723900.0
2013-01-16,44.49,44.81,44.48,44.77,12085600.0
2013-01-17,45.0,45.25,44.96,45.080002,15182200.0
2013-01-18,45.09,45.16,44.95,45.13,10905200.0
2013-01-22,45.0099983,45.09,44.93,45.09,12863000.0
2013-01-23,44.88,44.9,44.7,44.8,20810700.0
2013-01-24,44.77,44.93,44.54,44.67,17504400.0
2013-01-25,44.58,44.65,44.32,44.56,13662100.0
2013-01-28,44.43,44.44,44.099998,44.23,22382700.0
2013-01-29,44.48,44.83,44.46,44.75,21512200.0
2013-01-30,44.56,44.67,44.5,44.52,14045900.0
2013-01-31,44.58,44.63,44.42,44.56,26095400.0
2013-02-01,44.81,44.97,44.67,44.86,12021200.0
2013-02-04,44.53,44.54,44.15,44.28,13499000.0
2013-02-05,44.49,44.54,44.29,44.41,33305400.0
2013-02-06,44.15,44.31,44.029999,44.3,18427800.0
2013-02-07,44.24,44.26,43.75,43.94,14299500.0
2013-02-08,44.07,44.3,44.049999,44.29,13048000.0
2013-02-11,44.19,44.28,44.049999,44.27,10492600.0
2013-02-12,44.22,44.48,44.099998,44.34,11362600.0
2013-02-13,44.59,44.66,44.45,44.52,10556900.0
2013-02-14,44.34,44.55,44.3,44.48,10268300.0
2013-02-15,44.53,44.53,44.33,44.41,13824200.0
2013-02-19,44.43,44.57,44.4,44.43,19722800.0
2013-02-20,44.62,44.63,44.02,44.02,30313700.0
2013-02-21,43.69,43.71,43.31,43.52,26589300.0
2013-02-22,43.79,43.79,43.49,43.69,18602100.0
2013-02-25,44.040001,44.080002,42.98,43.040001,29123800.0
2013-02-26,43.27,43.43,43.060001,43.33,30166000.0
2013-02-27,43.35,43.81,43.32,43.72,20752600.0
2013-02-28,43.72,43.81,43.48,43.51,31158700.0
2013-03-01,43.38,43.62,43.21,43.57,17239900.0
2013-03-04,43.099998,43.24,42.96,43.19,18459000.0
2013-03-05,43.63,43.8,43.58,43.68,17769800.0
2013-03-06,43.9,43.98,43.76,43.91,13156800.0
2013-03-07,43.92,44.080002,43.88,44.02,18762400.0
2013-03-08,44.3,44.47,44.11,44.42,27187200.0
2013-03-11,44.19,44.24,44.029999,44.22,14793400.0
2013-03-12,44.02,44.040001,43.67,43.77,17453400.0
2013-03-13,43.69,43.7,43.33,43.35,12152600.0
2013-03-14,43.51,43.65,43.49,43.57,13816800.0
2013-03-15,43.35,43.39,43.18,43.21,12922000.0
2013-03-18,42.72,42.96,42.71,42.73,17460800.0
2013-03-19,42.78,42.81,42.15,42.4,15842900.0
2013-03-20,42.72,42.79,42.62,42.65,19376800.0
2013-03-21,42.43,42.49,42.17,42.26,17197000.0
2013-03-22,42.24,42.35,42.15,42.33,18292100.0
2013-03-25,42.56,42.59,42.049999,42.24,16929500.0
2013-03-26,42.56,42.75,42.55,42.72,21237300.0
2013-03-27,42.47,42.9,42.35,42.88,11982900.0
2013-03-28,42.78,42.95,42.7,42.9,17741300.0
2013-04-01,42.88,42.93,42.44,42.52,21973300.0
2013-04-02,42.75,42.75,42.49,42.56,25705400.0
2013-04-03,42.5,42.55,41.95,42.029999,14592800.0
2013-04-04,42.040001,42.14,41.79,42.02,22689600.0
2013-04-05,41.36,42.060001,41.28,41.96,26455900.0
2013-04-08,41.8,42.09,41.71,42.07,11990100.0
2013-04-09,42.099998,42.71,42.0099983,42.51,14343000.0
2013-04-10,42.77,43.12,42.74,42.88,12786300.0
2013-04-11,42.92,43.0,42.75,42.87,10005100.0
2013-04-12,42.44,42.49,42.0,42.34,36404100.0
2013-04-15,41.96,41.98,41.23,41.23,22504100.0
2013-04-16,42.12,42.2,41.8,42.14,14326000.0
2013-04-17,41.78,41.79,41.23,41.53,19005000.0
2013-04-18,41.78,41.8,41.38,41.62,15909400.0
2013-04-19,42.15,42.28,42.029999,42.22,13701500.0
2013-04-22,42.32,42.36,42.0,42.33,15684100.0
2013-04-23,42.27,42.64,42.22,42.54,16112400.0
2013-04-24,42.64,42.97,42.62,42.81,13020700.0
2013-04-25,43.0099983,43.34,42.96,43.17,10662000.0
2013-04-26,42.94,43.0099983,42.63,42.77,8478200.0
2013-04-29,43.11,43.34,42.98,43.22,9419400.0
2013-04-30,43.31,43.88,43.18,43.76,18425900.0
2013-05-01,43.7,43.71,43.2,43.3,13443000.0
2013-05-02,43.57,43.71,43.46,43.7,14142600.0
2013-05-03,43.94,44.25,43.89,44.0,13122800.0
2013-05-06,44.029999,44.12,43.92,44.049999,10360300.0
2013-05-07,44.23,44.5,44.17,44.4,11356500.0
2013-05-08,44.59,44.81,44.59,44.79,8591000.0
2013-05-09,44.62,44.74,44.25,44.44,10075900.0
2013-05-10,44.25,44.31,44.049999,44.27,10651600.0
2013-05-13,44.0,44.029999,43.83,43.87,6943700.0
2013-05-14,43.99,44.2,43.95,44.080002,16897600.0
2013-05-15,43.96,44.09,43.83,44.040001,17981000.0
2013-05-16,44.0,44.17,43.85,43.87,12388400.0
2013-05-17,43.99,44.11,43.88,44.02,13544200.0
2013-05-20,43.98,44.16,43.89,44.12,11132900.0
2013-05-21,44.060001,44.27,43.78,44.09,12035000.0
2013-05-22,44.15,44.57,43.44,43.59,17340800.0
2013-05-23,42.85,43.27,42.66,43.27,20936300.0
2013-05-24,42.95,42.95,42.59,42.84,22998800.0
2013-05-28,43.34,43.38,42.95,43.049999,17409200.0
2013-05-29,42.68,42.79,42.41,42.45,18052400.0
2013-05-30,42.34,42.65,42.29,42.35,20826400.0
2013-05-31,42.07,42.07,41.52,41.54,30571000.0
2013-06-03,41.72,42.26,41.41,42.2,27019400.0
2013-06-04,42.18,42.18,41.56,41.72,18723900.0
2013-06-05,41.63,41.65,40.86,40.87,19904700.0
2013-06-06,40.8,41.29,40.72,41.29,18915000.0
