label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held
Pine defaults (2017+),5m,2017-01-01,2026-09-10,9.69,18941,7737,11204,40.85,0.863,-187017.95,-187.02,,-188.88,-0.11,-0.0473,0.434,-0.38,8733,10208,9275,40.2,-113268.8,9666,41.5,-73749.15,27.31,14.7
Pine defaults (2024+),5m,2024-01-01,2026-09-10,2.69,8169,2709,5460,33.16,0.916,-56685.25,-56.69,-26.72,-58.91,-1.66,-0.0096,0.288,-0.157,3113,5056,3952,31.8,-41524.19,4217,34.5,-15161.05,24.71,8.6
Pine defaults (2017+),15m,2017-01-01,2026-09-10,9.69,8017,2563,5454,31.97,0.851,-100000.23,-100.0,,-100.82,0.34,-0.0716,0.763,-0.464,2978,5039,3730,32.5,-30537.4,4287,31.5,-69462.82,24.88,10.5
Pine defaults (2024+),15m,2024-01-01,2026-09-10,2.69,3153,779,2374,24.71,0.928,-21023.95,-21.02,-8.4,-24.8,-0.79,-0.0087,0.449,-0.159,946,2207,1447,24.2,-7204.44,1706,25.1,-13819.51,18.82,5.6
Pine defaults (2017+),1h,2017-01-01,2026-09-10,9.69,2448,581,1867,23.73,0.748,-58814.05,-58.81,-8.75,-58.82,-1.06,-0.1614,1.323,-0.623,687,1761,1157,25.2,-27757.62,1291,22.4,-31056.43,18.62,6.5
Pine defaults (2024+),1h,2024-01-01,2026-09-10,2.69,854,115,739,13.47,0.767,-21665.58,-21.67,-8.67,-24.83,-1.13,-0.0329,0.818,-0.165,152,702,389,14.9,-8641.2,465,12.3,-13024.37,9.47,2.6
Pine defaults (2017+),4h,2017-01-01,2026-09-10,9.69,660,109,551,16.52,0.791,-14467.94,-14.47,-1.6,-16.91,-0.46,-0.1778,2.78,-0.763,138,522,319,18.5,-6420.82,341,14.7,-8047.12,11.97,3.9
Pine defaults (2024+),4h,2024-01-01,2026-09-10,2.69,214,26,188,12.15,0.968,-750.73,-0.75,-0.28,-8.81,-0.04,0.0088,1.226,-0.16,35,179,100,12.0,-1729.0,114,12.3,978.26,5.42,1.5
Pine defaults (2017+),1d,2017-01-01,2026-09-10,9.69,92,8,84,8.7,0.683,-3436.71,-3.44,-0.36,-7.81,-0.24,0.3456,11.412,-0.708,10,82,47,12.8,-503.62,45,4.4,-2933.09,7.71,3.0
Pine defaults (2024+),1d,2024-01-01,2026-09-10,2.69,30,2,28,6.67,0.268,-2704.6,-2.7,-1.01,-3.28,-0.93,-0.0972,0.794,-0.161,2,28,17,11.8,-988.6,13,0.0,-1716.0,3.25,1.1
