timeframe,sep_pct,direction,sl_kind,sl_val,is_trades,is_wr,is_pf,is_net,is_avg_pct,oos_trades,oos_wr,oos_pf,oos_net,oos_avg_pct
5m,0.15,both,Percent,0.625,10623,38.85,0.525,-195020.6,-0.1836,6686,49.63,0.572,-84438.3,-0.1263
5m,0.15,long only,Percent,0.625,5024,38.99,0.551,-87262.81,-0.1736,3347,49.09,0.557,-44795.68,-0.1338
5m,0.15,short only,Percent,0.625,5599,38.72,0.502,-107757.79,-0.1925,3339,50.16,0.588,-39642.62,-0.1187
5m,0.15,both,Percent,1.5,7655,52.38,0.589,-148822.39,-0.1944,5046,59.43,0.595,-67687.56,-0.1341
5m,0.15,long only,Percent,1.5,3659,52.86,0.611,-69194.0,-0.189,2494,59.22,0.589,-34720.58,-0.1392
5m,0.15,short only,Percent,1.5,3996,51.95,0.567,-79628.39,-0.1993,2552,59.64,0.602,-32966.99,-0.1292
5m,0.15,both,Percent,3.0,6476,56.61,0.58,-135055.81,-0.2085,4422,60.61,0.585,-59323.53,-0.1341
5m,0.15,long only,Percent,3.0,3088,57.93,0.619,-60682.94,-0.1964,2182,60.77,0.584,-30087.66,-0.1378
5m,0.15,short only,Percent,3.0,3388,55.4,0.541,-74372.88,-0.2195,2240,60.45,0.586,-29235.87,-0.1305
5m,0.15,both,Percent,5.0,6023,57.63,0.546,-137174.66,-0.2277,4221,60.74,0.564,-58059.25,-0.1375
5m,0.15,long only,Percent,5.0,2856,59.42,0.601,-57661.19,-0.2018,2083,60.97,0.559,-30200.05,-0.1449
5m,0.15,short only,Percent,5.0,3167,56.02,0.495,-79513.47,-0.2511,2138,60.52,0.569,-27859.19,-0.1303
5m,0.15,both,Percent,8.0,5789,57.64,0.508,-143447.56,-0.2477,4147,60.77,0.54,-60136.72,-0.145
5m,0.15,long only,Percent,8.0,2737,59.44,0.569,-58587.89,-0.214,2041,60.85,0.534,-30460.72,-0.1492
5m,0.15,short only,Percent,8.0,3052,56.03,0.454,-84859.67,-0.278,2106,60.68,0.546,-29675.99,-0.1409
5m,0.15,both,1R to TP,,10017,38.08,0.497,-213552.74,-0.2132,6825,47.09,0.569,-83027.2,-0.1216
5m,0.15,long only,1R to TP,,4672,38.63,0.517,-99985.35,-0.214,3414,46.51,0.543,-46282.91,-0.1355
5m,0.15,short only,1R to TP,,5345,37.59,0.477,-113567.39,-0.2125,3411,47.67,0.598,-36744.29,-0.1077
5m,0.15,both,ATR,1.0,15953,23.26,0.391,-322300.75,-0.202,12104,24.96,0.451,-132487.33,-0.1095
5m,0.15,long only,ATR,1.0,7151,24.75,0.434,-138667.32,-0.1939,6035,24.95,0.446,-68785.74,-0.114
5m,0.15,short only,ATR,1.0,8802,22.04,0.353,-183633.43,-0.2086,6069,24.96,0.456,-63701.59,-0.105
5m,0.15,both,ATR,1.5,12788,31.83,0.46,-263750.8,-0.2062,10050,32.9,0.507,-113445.58,-0.1129
5m,0.15,long only,ATR,1.5,5726,33.71,0.502,-113053.38,-0.1974,4960,32.72,0.495,-59669.91,-0.1203
5m,0.15,short only,ATR,1.5,7062,30.32,0.424,-150697.43,-0.2134,5090,33.06,0.52,-53775.67,-0.1056
5m,0.15,both,ATR,2.0,10820,38.79,0.51,-219462.59,-0.2028,8640,39.19,0.542,-99858.72,-0.1156
5m,0.15,long only,ATR,2.0,4889,40.76,0.545,-95937.88,-0.1962,4266,39.05,0.526,-53162.51,-0.1246
5m,0.15,short only,ATR,2.0,5931,37.16,0.479,-123524.71,-0.2083,4374,39.32,0.559,-46696.21,-0.1068
5m,0.15,both,ATR,3.0,8790,47.78,0.556,-175959.18,-0.2002,7106,47.62,0.568,-87532.32,-0.1232
5m,0.15,long only,ATR,3.0,4016,49.85,0.59,-77583.83,-0.1931,3486,47.99,0.555,-46001.15,-0.1319
5m,0.15,short only,ATR,3.0,4774,46.04,0.525,-98375.34,-0.2061,3620,47.27,0.582,-41531.17,-0.1147
5m,0.15,both,ATR,4.0,7874,52.55,0.572,-158349.74,-0.2011,6311,52.64,0.581,-80196.49,-0.1271
5m,0.15,long only,ATR,4.0,3636,54.46,0.597,-71981.54,-0.1979,3091,53.19,0.57,-41832.96,-0.1353
5m,0.15,short only,ATR,4.0,4238,50.92,0.548,-86368.2,-0.2038,3220,52.11,0.593,-38363.53,-0.1191
5m,0.5,both,Percent,0.625,7040,36.45,0.595,-135656.15,-0.1927,3702,45.3,0.662,-48148.52,-0.13
5m,0.5,long only,Percent,0.625,3340,36.44,0.626,-59306.21,-0.1775,1863,44.12,0.639,-26700.99,-0.1433
5m,0.5,short only,Percent,0.625,3700,36.46,0.567,-76349.94,-0.2064,1839,46.49,0.688,-21447.53,-0.1166
5m,0.5,both,Percent,1.5,4693,56.04,0.664,-101389.71,-0.216,2611,60.32,0.704,-36188.95,-0.1386
5m,0.5,long only,Percent,1.5,2268,55.78,0.684,-47483.85,-0.2093,1296,59.88,0.683,-20097.6,-0.155
5m,0.5,short only,Percent,1.5,2425,56.29,0.645,-53905.85,-0.2223,1315,60.76,0.727,-16091.35,-0.1224
5m,0.5,both,Percent,3.0,3692,64.92,0.672,-87199.37,-0.2361,2158,63.16,0.711,-30046.68,-0.1392
5m,0.5,long only,Percent,3.0,1793,66.26,0.698,-41161.49,-0.2294,1066,63.23,0.676,-17899.45,-0.1678
5m,0.5,short only,Percent,3.0,1899,63.67,0.644,-46037.88,-0.2424,1092,63.1,0.75,-12147.23,-0.1112
5m,0.5,both,Percent,5.0,3300,67.88,0.643,-88697.6,-0.2687,2000,63.25,0.699,-28766.27,-0.1438
5m,0.5,long only,Percent,5.0,1590,70.13,0.681,-39696.51,-0.2495,986,63.59,0.663,-17274.15,-0.1751
5m,0.5,short only,Percent,5.0,1710,65.79,0.605,-49001.09,-0.2866,1014,62.92,0.74,-11492.11,-0.1133
5m,0.5,both,Percent,8.0,3091,68.39,0.609,-92241.99,-0.2983,1941,63.37,0.68,-29668.9,-0.1528
5m,0.5,long only,Percent,8.0,1479,70.86,0.651,-40596.56,-0.2743,951,63.51,0.641,-17546.23,-0.1844
5m,0.5,short only,Percent,8.0,1612,66.13,0.568,-51645.43,-0.3204,990,63.23,0.723,-12122.67,-0.1225
5m,0.5,both,1R to TP,,4929,50.01,0.629,-114456.56,-0.2322,2984,54.09,0.685,-41256.61,-0.1382
5m,0.5,long only,1R to TP,,2316,51.08,0.645,-54727.79,-0.2362,1500,53.27,0.642,-25228.69,-0.1681
5m,0.5,short only,1R to TP,,2613,49.06,0.613,-59728.78,-0.2286,1484,54.92,0.736,-16027.92,-0.108
5m,0.5,both,ATR,1.0,10039,21.63,0.476,-207592.98,-0.2068,6428,21.08,0.552,-71066.89,-0.1106
5m,0.5,long only,ATR,1.0,4429,23.82,0.53,-86653.69,-0.1957,3214,20.75,0.538,-38236.95,-0.119
5m,0.5,short only,ATR,1.0,5610,19.89,0.428,-120939.3,-0.2156,3214,21.41,0.566,-32829.94,-0.1021
5m,0.5,both,ATR,1.5,7904,31.07,0.547,-171153.12,-0.2165,5280,28.54,0.601,-62548.4,-0.1184
5m,0.5,long only,ATR,1.5,3489,33.94,0.596,-71699.51,-0.2054,2602,28.06,0.582,-33986.13,-0.1306
5m,0.5,short only,ATR,1.5,4415,28.81,0.503,-99453.62,-0.2253,2678,29.01,0.621,-28562.27,-0.1067
