side,entry_time,exit_time,entry_px,exit_px,stop_px,tp_at_entry,qty,reason,pnl,pnl_pct,bars_held
short,2017-01-11 00:00:00+00:00,2017-01-12 00:00:00+00:00,776.62,783.47,781.47,686.44,12.87631,SL,-98.3,-0.983,1
short,2017-03-17 00:00:00+00:00,2017-03-18 00:00:00+00:00,1069.02,1077.7,1075.7,825.44,9.354362,SL,-91.25,-0.912,1
short,2017-03-22 00:00:00+00:00,2017-03-23 00:00:00+00:00,1035.56,1044.03,1042.03,836.89,9.656611,SL,-91.85,-0.919,1
short,2017-07-09 00:00:00+00:00,2017-07-10 00:00:00+00:00,2500.28,2517.91,2515.91,1490.98,3.999552,SL,-80.53,-0.805,1
short,2017-07-26 00:00:00+00:00,2017-07-27 00:00:00+00:00,2522.99,2540.76,2538.76,1616.02,3.963551,SL,-80.46,-0.805,1
short,2017-09-14 00:00:00+00:00,2017-09-15 00:00:00+00:00,3225.79,3247.95,3245.95,2341.97,3.100016,SL,-78.73,-0.787,1
short,2017-09-19 00:00:00+00:00,2017-09-20 00:00:00+00:00,3886.8,3913.09,3911.09,2406.36,2.572811,SL,-77.68,-0.777,1
short,2018-01-11 00:00:00+00:00,2018-01-12 00:00:00+00:00,13241.83,13326.59,13324.59,6812.19,0.755183,SL,-74.04,-0.74,1
short,2018-03-07 00:00:00+00:00,2018-03-08 00:00:00+00:00,9911.03,9974.97,9972.97,8893.6,1.008977,SL,-74.55,-0.746,1
long,2018-04-20 00:00:00+00:00,2018-04-21 00:00:00+00:00,8863.0,8805.61,8807.61,9732.67,1.128286,SL,-74.72,-0.747,1
long,2018-05-20 00:00:00+00:00,2018-05-21 00:00:00+00:00,8520.48,8465.23,8467.23,10261.89,1.173643,SL,-74.81,-0.748,1
long,2018-07-17 00:00:00+00:00,2018-07-18 00:00:00+00:00,7312.71,7265.01,7267.01,8925.49,1.367482,SL,-75.2,-0.752,1
long,2018-08-28 00:00:00+00:00,2018-08-29 00:00:00+00:00,7082.94,7036.67,7038.67,7895.32,1.411843,SL,-75.29,-0.753,1
long,2018-09-21 00:00:00+00:00,2018-09-22 00:00:00+00:00,6751.45,6707.25,6709.25,7466.98,1.481163,SL,-75.43,-0.754,1
long,2018-09-27 00:00:00+00:00,2018-09-28 00:00:00+00:00,6683.62,6639.85,6641.85,7377.42,1.496195,SL,-75.46,-0.755,1
long,2018-11-07 00:00:00+00:00,2018-11-08 00:00:00+00:00,6503.0,6460.36,6462.36,7078.98,1.537752,SL,-75.54,-0.755,1
long,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,4042.71,4015.44,4017.44,5916.3,2.473588,SL,-77.41,-0.774,1
long,2019-02-10 00:00:00+00:00,2019-02-11 00:00:00+00:00,3652.37,3627.54,3629.54,5369.67,2.737948,SL,-77.94,-0.779,1
long,2019-02-17 00:00:00+00:00,2019-04-02 00:00:00+00:00,3627.6,4627.15,3604.93,5214.82,2.756644,TP,2744.04,27.44,44
short,2019-07-16 00:00:00+00:00,2019-07-17 00:00:00+00:00,9410.81,9471.63,9469.63,5955.08,1.062608,SL,-74.66,-0.747,1
short,2019-07-23 00:00:00+00:00,2019-07-24 00:00:00+00:00,9845.02,9908.55,9906.55,6184.28,1.015742,SL,-74.56,-0.746,1
short,2019-08-13 00:00:00+00:00,2019-08-19 00:00:00+00:00,10860.28,10930.16,10928.16,6920.44,0.920787,SL,-74.37,-0.744,6
short,2019-08-20 00:00:00+00:00,2019-09-06 00:00:00+00:00,10770.22,10839.53,10837.53,7164.01,0.928486,SL,-74.39,-0.744,17
short,2019-09-08 00:00:00+00:00,2019-09-09 00:00:00+00:00,10398.18,10465.17,10463.17,7788.25,0.961707,SL,-74.46,-0.745,1
