label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held
both directions,1d,2017-01-01,2026-09-10,9.69,82,5,77,6.1,1.725,4120.45,4.12,0.42,-3.11,0.35,0.5025,19.602,-0.738,5,77,39,10.3,6726.88,43,2.3,-2606.43,6.98,3.0
long only,1d,2017-01-01,2026-09-10,9.69,39,4,35,10.26,3.605,6726.88,6.73,0.67,-2.05,0.66,1.7248,23.274,-0.738,4,35,39,10.3,6726.88,0,,0.0,3.98,3.6
short only,1d,2017-01-01,2026-09-10,9.69,43,1,42,2.33,0.159,-2606.43,-2.61,-0.27,-3.66,-0.42,-0.6061,4.915,-0.738,1,42,0,,0.0,43,2.3,-2606.43,2.99,2.5
Pine costs ($2.5/contract),1d,2017-01-01,2026-09-10,9.69,82,5,77,6.1,1.906,4671.07,4.67,0.47,-2.72,0.4,0.5696,19.651,-0.669,5,77,39,10.3,6975.78,43,2.3,-2304.71,6.98,3.0
realistic 0.05%/side,1d,2017-01-01,2026-09-10,9.69,82,5,77,6.1,1.725,4120.45,4.12,0.42,-3.11,0.35,0.5025,19.602,-0.738,5,77,39,10.3,6726.88,43,2.3,-2606.43,6.98,3.0
high cost 0.10%/side,1d,2017-01-01,2026-09-10,9.69,82,5,77,6.1,1.511,3295.8,3.3,0.34,-3.56,0.28,0.4019,19.493,-0.838,5,77,39,10.3,6333.32,43,2.3,-3037.52,6.98,3.0
zero cost,1d,2017-01-01,2026-09-10,9.69,82,5,77,6.1,2.051,5057.48,5.06,0.51,-2.64,0.43,0.6168,19.74,-0.625,5,77,39,10.3,7181.08,43,2.3,-2123.61,7.29,3.1
TP 200SMA dynamic,1d,2017-01-01,2026-09-10,9.69,82,5,77,6.1,1.725,4120.45,4.12,0.42,-3.11,0.35,0.5025,19.602,-0.738,5,77,39,10.3,6726.88,43,2.3,-2606.43,6.98,3.0
TP 200SMA locked at entry,1d,2017-01-01,2026-09-10,9.69,82,5,77,6.1,2.054,5987.54,5.99,0.6,-3.04,0.45,0.7302,23.336,-0.738,5,77,39,10.3,8570.06,43,2.3,-2582.52,7.23,3.1
SMA 20/200,1d,2017-01-01,2026-09-10,9.69,173,7,166,4.05,0.42,-7093.47,-7.09,-0.76,-7.11,-0.66,-0.4111,7.346,-0.738,7,166,80,3.8,-4450.16,93,4.3,-2661.18,9.86,2.0
SMA 50/100,1d,2017-01-01,2026-09-10,9.69,73,11,62,15.07,1.915,4128.92,4.13,0.42,-1.05,0.57,0.5656,7.857,-0.728,12,61,35,14.3,2800.68,38,15.8,1328.23,3.14,1.5
SMA 100/400,1d,2017-01-01,2026-09-10,9.69,56,3,53,5.36,2.499,5845.5,5.85,0.59,-2.44,0.42,1.0438,32.48,-0.736,3,53,12,8.3,3591.86,44,4.5,2253.64,6.07,3.8
SMA 50/300,1d,2017-01-01,2026-09-10,9.69,84,3,81,3.57,1.438,2609.51,2.61,0.27,-4.42,0.21,0.3107,28.539,-0.735,3,81,34,8.8,6274.34,50,0.0,-3664.83,6.69,2.8
