timeframe,direction,sep_pct,sl,is_pf,is_trades,oos_fwd_pf,oos_fwd_trades,oos_back_pf,oos_back_trades,pf_2017plus,pf_wo_best_trade,top3_share_of_gross_profit
4h,long only,0.15,1.0xATR,1.109,116,0.851,154,0.045,144,0.963,0.89,17.8
4h,long only,0.5,1.0xATR,1.111,111,0.85,146,0.046,138,0.964,0.891,17.9
4h,long only,1.0,1.0xATR,1.142,100,0.842,131,0.049,126,0.975,0.9,18.1
4h,long only,1.0,1.5xATR,1.011,87,0.791,114,0.064,105,0.891,0.836,16.1
4h,long only,2.0,1.0xATR,1.155,87,0.873,107,0.074,101,0.998,0.918,18.9
4h,long only,2.0,1.5xATR,1.016,76,0.787,95,0.096,80,0.894,0.835,16.8
4h,long only,3.0,0.625%,1.084,113,0.709,105,0.0,116,0.883,0.78,27.7
4h,both,3.0,3.0%,1.004,178,0.717,145,0.076,163,0.862,0.825,9.7
4h,long only,3.0,3.0%,1.164,78,0.831,70,0.058,81,0.969,0.887,18.1
4h,long only,3.0,5.0%,1.079,63,0.904,55,0.089,70,0.977,0.911,17.2
4h,long only,3.0,1R to TP,1.034,47,1.289,45,0.104,63,1.089,1.003,18.1
4h,both,3.0,1.0xATR,1.026,182,0.688,203,0.09,179,0.872,0.833,10.4
4h,long only,3.0,1.0xATR,1.281,77,0.867,91,0.079,94,1.057,0.968,19.9
4h,both,3.0,1.5xATR,1.019,155,0.748,173,0.101,150,0.896,0.861,10.0
4h,long only,3.0,1.5xATR,1.149,67,0.796,80,0.103,73,0.963,0.897,17.6
4h,long only,3.0,2.0xATR,1.034,62,0.846,68,0.107,69,0.937,0.874,17.2
4h,long only,3.0,3.0xATR,1.022,51,1.027,53,0.102,61,1.008,0.94,17.3
4h,long only,5.0,0.625%,1.085,96,0.587,72,0.0,81,0.846,0.719,36.0
4h,long only,5.0,3.0%,1.158,65,0.692,46,0.068,58,0.918,0.82,22.9
4h,long only,5.0,5.0%,1.139,50,0.697,37,0.114,52,0.922,0.846,21.4
4h,long only,5.0,8.0%,1.051,41,0.756,29,0.147,43,0.918,0.829,22.7
4h,long only,5.0,1R to TP,1.011,35,1.202,25,0.139,44,1.027,0.922,23.3
4h,both,5.0,1.0xATR,1.039,147,0.524,141,0.113,132,0.823,0.778,12.8
4h,long only,5.0,1.0xATR,1.265,64,0.644,60,0.107,65,0.969,0.866,25.1
4h,both,5.0,1.5xATR,1.027,124,0.573,116,0.128,114,0.837,0.797,12.3
4h,long only,5.0,1.5xATR,1.165,54,0.623,50,0.145,51,0.908,0.83,22.1
4h,long only,5.0,2.0xATR,1.07,49,0.648,41,0.143,49,0.884,0.809,21.6
4h,long only,5.0,3.0xATR,1.094,38,0.755,33,0.138,44,0.946,0.866,21.9
1d,both,0.15,0.625%,4.08,39,0.179,52,0.172,40,1.597,1.157,77.3
1d,both,0.15,1.5%,2.644,37,0.712,51,0.385,40,1.378,1.149,47.2
1d,both,0.15,3.0%,1.616,36,0.999,41,0.542,37,1.181,1.029,36.4
1d,both,0.15,5.0%,1.505,32,0.801,36,0.546,31,1.039,0.916,33.5
1d,both,0.15,1.0xATR,1.445,30,0.796,41,0.362,31,1.02,0.852,37.7
1d,both,0.5,0.625%,4.093,37,0.179,52,0.172,40,1.599,1.158,77.3
1d,both,0.5,1.5%,2.649,35,0.712,51,0.385,40,1.379,1.149,47.2
1d,both,0.5,3.0%,1.618,34,0.999,41,0.542,37,1.181,1.03,36.4
1d,both,0.5,5.0%,1.506,30,0.801,36,0.546,31,1.039,0.917,33.5
1d,both,1.0,0.625%,4.093,37,0.179,52,0.172,40,1.599,1.158,77.3
1d,both,1.0,1.5%,2.649,35,0.712,51,0.385,40,1.379,1.149,47.2
1d,both,1.0,3.0%,1.618,34,0.999,41,0.542,37,1.181,1.03,36.4
1d,both,1.0,5.0%,1.506,30,0.801,36,0.546,31,1.039,0.917,33.5
1d,both,2.0,0.625%,4.115,35,0.179,52,0.172,40,1.602,1.16,77.3
1d,both,2.0,1.5%,2.656,33,0.712,51,0.385,40,1.38,1.15,47.2
1d,both,2.0,3.0%,1.62,32,0.999,41,0.542,37,1.182,1.03,36.4
1d,both,3.0,0.625%,4.115,35,0.191,48,0.173,39,1.663,1.204,77.3
1d,both,3.0,1.5%,2.656,33,0.747,47,0.388,39,1.418,1.182,47.2
1d,both,3.0,3.0%,1.62,32,1.046,38,0.544,36,1.208,1.053,36.3
1d,both,5.0,0.625%,4.136,34,0.16,43,0.175,38,1.725,1.242,78.5
1d,both,5.0,1.5%,2.663,32,0.645,42,0.392,38,1.384,1.141,49.8
1d,both,5.0,3.0%,1.622,31,0.888,34,0.537,35,1.134,0.979,38.6
