label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held,sep_pct,sl_kind,sl_val,direction
sep 0.5% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,11,2,9,18.18,3.011,5647.6,5.65,0.37,-2.17,0.81,5.1342,42.28,-3.12,2,9,0,,0.0,11,18.2,5647.6,5.61,3.9,0.5,Percent,3.0,short only
sep 0.15% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,11,2,9,18.18,3.011,5647.6,5.65,0.37,-2.17,0.81,5.1342,42.28,-3.12,2,9,0,,0.0,11,18.2,5647.6,5.61,3.9,0.15,Percent,3.0,short only
sep 3.0% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,11,2,9,18.18,3.011,5647.6,5.65,0.37,-2.17,0.81,5.1342,42.28,-3.12,2,9,0,,0.0,11,18.2,5647.6,5.61,3.9,3.0,Percent,3.0,short only
sep 5.0% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,11,2,9,18.18,3.011,5647.6,5.65,0.37,-2.17,0.81,5.1342,42.28,-3.12,2,9,0,,0.0,11,18.2,5647.6,5.61,3.9,5.0,Percent,3.0,short only
sep 2.0% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,11,2,9,18.18,3.011,5647.6,5.65,0.37,-2.17,0.81,5.1342,42.28,-3.12,2,9,0,,0.0,11,18.2,5647.6,5.61,3.9,2.0,Percent,3.0,short only
sep 1.0% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,11,2,9,18.18,3.011,5647.6,5.65,0.37,-2.17,0.81,5.1342,42.28,-3.12,2,9,0,,0.0,11,18.2,5647.6,5.61,3.9,1.0,Percent,3.0,short only
sep 1.0% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,12,2,10,16.67,3.01,5646.5,5.65,0.37,-2.17,0.81,4.7054,42.28,-2.809,3,9,1,0.0,-1.09,11,18.2,5647.6,5.74,3.7,1.0,Percent,3.0,both
sep 2.0% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,12,2,10,16.67,3.01,5646.5,5.65,0.37,-2.17,0.81,4.7054,42.28,-2.809,3,9,1,0.0,-1.09,11,18.2,5647.6,5.74,3.7,2.0,Percent,3.0,both
sep 5.0% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,12,2,10,16.67,3.01,5646.5,5.65,0.37,-2.17,0.81,4.7054,42.28,-2.809,3,9,1,0.0,-1.09,11,18.2,5647.6,5.74,3.7,5.0,Percent,3.0,both
sep 3.0% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,12,2,10,16.67,3.01,5646.5,5.65,0.37,-2.17,0.81,4.7054,42.28,-2.809,3,9,1,0.0,-1.09,11,18.2,5647.6,5.74,3.7,3.0,Percent,3.0,both
sep 0.15% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,12,2,10,16.67,3.01,5646.5,5.65,0.37,-2.17,0.81,4.7054,42.28,-2.809,3,9,1,0.0,-1.09,11,18.2,5647.6,5.74,3.7,0.15,Percent,3.0,both
sep 0.5% / Percent 3.0,1w,2012-01-02,2026-09-07,14.68,12,2,10,16.67,3.01,5646.5,5.65,0.37,-2.17,0.81,4.7054,42.28,-2.809,3,9,1,0.0,-1.09,11,18.2,5647.6,5.74,3.7,0.5,Percent,3.0,both
sep 3.0% / ATR 1.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,2.942,11569.12,11.57,0.75,-4.55,1.05,16.5273,43.813,-19.854,4,3,0,,0.0,7,57.1,11569.12,12.78,14.0,3.0,ATR,1.0,short only
sep 3.0% / ATR 1.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,2.942,11568.02,11.57,0.75,-4.55,1.05,14.46,43.813,-14.893,5,3,1,0.0,-1.09,7,57.1,11569.12,12.91,12.4,3.0,ATR,1.0,both
sep 0.15% / ATR 1.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,2.942,11568.02,11.57,0.75,-4.55,1.05,14.46,43.813,-14.893,5,3,1,0.0,-1.09,7,57.1,11569.12,12.91,12.4,0.15,ATR,1.0,both
sep 0.15% / ATR 1.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,2.942,11569.12,11.57,0.75,-4.55,1.05,16.5273,43.813,-19.854,4,3,0,,0.0,7,57.1,11569.12,12.78,14.0,0.15,ATR,1.0,short only
