label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held,fast,slow,stop
SMA 50/200 · 5% stop,1w,2012-01-02,2026-09-07,14.68,12,3,9,25.0,2.904,7804.66,7.8,0.51,-2.2,0.98,6.5039,39.682,-4.555,4,8,1,0.0,-1.09,11,27.3,7805.76,8.34,5.3,50,200,5% stop
SMA 20/100 · 2xATR,1w,2012-01-02,2026-09-07,14.68,14,9,5,64.29,2.649,19354.97,19.35,1.21,-5.67,1.04,13.7863,34.452,-23.413,9,5,4,75.0,14869.93,10,60.0,4430.83,31.55,17.3,20,100,2xATR
SMA 20/100 · 1R,1w,2012-01-02,2026-09-07,14.68,13,8,5,61.54,2.315,17182.22,17.18,1.09,-7.61,0.91,13.1754,37.687,-26.043,8,5,4,75.0,15742.4,9,55.6,1385.61,33.64,19.8,20,100,1R
SMA 20/100 · 5% stop,1w,2012-01-02,2026-09-07,14.68,25,6,19,24.0,2.111,11049.46,11.05,0.72,-6.3,0.86,4.3981,34.814,-5.207,6,19,8,25.0,8835.64,17,23.5,2159.61,16.17,5.0,20,100,5% stop
SMA 20/50 · 5% stop,1w,2012-01-02,2026-09-07,14.68,27,10,17,37.04,1.932,7969.87,7.97,0.52,-4.83,0.75,2.9518,16.525,-5.032,11,16,9,44.4,4298.14,18,33.3,3671.73,8.34,2.4,20,50,5% stop
SMA 10/40 · 5% stop,1w,2012-01-02,2026-09-07,14.68,50,17,33,34.0,1.602,12414.57,12.41,0.8,-5.44,0.91,2.4829,19.434,-6.249,19,31,19,42.1,6661.99,31,29.0,5752.57,14.34,2.2,10,40,5% stop
SMA 50/200 · 2xATR,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.475,5647.65,5.65,0.37,-9.07,0.5,7.0596,43.813,-29.694,5,3,1,0.0,-1.09,7,57.1,5648.75,14.73,14.1,50,200,2xATR
SMA 50/200 · 1R,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.459,5513.83,5.51,0.37,-9.4,0.48,6.8923,43.813,-30.029,5,3,1,0.0,-1.09,7,57.1,5514.92,14.47,13.9,50,200,1R
SMA 20/50 · 2xATR,1w,2012-01-02,2026-09-07,14.68,20,13,7,65.0,1.245,4400.65,4.4,0.29,-9.14,0.3,2.2003,17.188,-25.633,14,6,7,57.1,1498.97,13,69.2,2901.68,18.38,7.0,20,50,2xATR
SMA 20/50 · 1R,1w,2012-01-02,2026-09-07,14.68,21,10,11,47.62,1.146,2716.42,2.72,0.18,-9.25,0.21,1.2935,21.286,-16.882,11,10,7,57.1,4733.24,14,42.9,-2016.82,14.21,5.2,20,50,1R
SMA 10/40 · 1R,1w,2012-01-02,2026-09-07,14.68,34,19,15,55.88,1.078,2564.48,2.56,0.17,-17.62,0.17,0.7543,18.7,-21.977,22,12,12,58.3,1994.57,22,54.5,569.91,32.33,7.3,10,40,1R
SMA 10/40 · 2xATR,1w,2012-01-02,2026-09-07,14.68,34,19,15,55.88,0.854,-6076.61,-6.08,-0.43,-20.65,-0.21,-1.7872,18.7,-27.738,22,12,12,58.3,-1102.59,22,54.5,-4974.01,34.03,7.7,10,40,2xATR
SMA 4/12 · 1R,1w,2012-01-02,2026-09-07,14.68,88,49,39,55.68,0.64,-20101.94,-20.1,-1.52,-22.35,-0.94,-2.2843,7.295,-14.319,55,33,39,53.8,-7408.21,49,57.1,-12693.48,26.47,2.3,4,12,1R
SMA 5/20 · 5% stop,1w,2012-01-02,2026-09-07,14.68,94,30,64,31.91,0.521,-24283.53,-24.28,-1.88,-31.38,-1.45,-2.5834,8.806,-7.922,33,61,42,45.2,-687.99,52,21.2,-23595.54,23.47,1.9,5,20,5% stop
SMA 4/12 · 2xATR,1w,2012-01-02,2026-09-07,14.68,76,45,31,59.21,0.486,-32021.95,-32.02,-2.6,-35.09,-1.32,-4.2134,6.731,-20.101,59,17,32,56.2,-8882.94,44,61.4,-23138.76,32.99,3.3,4,12,2xATR
SMA 5/20 · 1R,1w,2012-01-02,2026-09-07,14.68,73,35,38,47.95,0.467,-39271.3,-39.27,-3.34,-47.99,-1.34,-5.3796,9.835,-19.393,38,35,30,60.0,-559.72,43,39.5,-38711.58,37.94,4.0,5,20,1R
SMA 4/12 · 5% stop,1w,2012-01-02,2026-09-07,14.68,100,36,64,36.0,0.466,-27338.01,-27.34,-2.15,-29.35,-1.73,-2.7338,6.635,-8.004,43,57,44,36.4,-11495.1,56,35.7,-15842.66,18.38,1.4,4,12,5% stop
SMA 5/20 · 2xATR,1w,2012-01-02,2026-09-07,14.68,62,35,27,56.45,0.4,-47745.0,-47.75,-4.32,-56.62,-1.5,-7.7008,9.111,-29.494,40,22,26,65.4,-4993.15,36,50.0,-42751.85,44.33,5.5,5,20,2xATR
