side,entry_time,exit_time,entry_px,exit_px,stop_px,tp_at_entry,qty,reason,pnl,pnl_pct,bars_held,y
short,2017-01-11 00:00:00+00:00,2017-01-12 00:00:00+00:00,776.62,754.08,799.92,754.08,12.87631,TP,280.43,2.804,1,2017
short,2017-03-17 00:00:00+00:00,2017-03-18 00:00:00+00:00,1069.02,1008.12,1101.09,1008.12,9.354362,TP,559.92,5.599,1,2017
short,2017-03-22 00:00:00+00:00,2017-03-24 00:00:00+00:00,1035.56,986.43,1066.63,985.89,9.656611,TP,464.71,4.647,2,2017
short,2017-07-09 00:00:00+00:00,2017-07-11 00:00:00+00:00,2500.28,2249.78,2575.29,2247.95,3.999552,TP,992.37,9.924,2,2017
short,2017-07-26 00:00:00+00:00,2017-07-27 00:00:00+00:00,2522.99,2600.68,2598.68,2296.25,3.963551,SL,-318.08,-3.181,1,2017
short,2017-09-14 00:00:00+00:00,2017-09-15 00:00:00+00:00,3225.79,3004.84,3322.56,3004.84,3.100016,TP,675.31,6.753,1,2017
short,2017-09-19 00:00:00+00:00,2017-09-20 00:00:00+00:00,3886.8,4005.4,4003.4,3516.69,2.572811,SL,-315.3,-3.153,1,2017
short,2018-01-11 00:00:00+00:00,2018-01-12 00:00:00+00:00,13241.83,13641.08,13639.08,11634.42,0.755183,SL,-311.66,-3.117,1,2018
short,2018-03-07 00:00:00+00:00,2018-03-08 00:00:00+00:00,9911.03,9656.67,10208.36,9656.67,1.008977,TP,246.77,2.468,1,2018
long,2018-04-20 00:00:00+00:00,2018-04-24 00:00:00+00:00,8863.0,9097.69,8597.11,9080.42,1.128286,TP,254.67,2.547,4,2018
long,2018-05-20 00:00:00+00:00,2018-05-22 00:00:00+00:00,8520.48,8262.87,8264.87,8955.83,1.173643,SL,-312.2,-3.122,2,2018
long,2018-07-17 00:00:00+00:00,2018-07-23 00:00:00+00:00,7312.71,7674.89,7093.33,7715.9,1.367482,TP,485.02,4.85,6,2018
long,2018-08-28 00:00:00+00:00,2018-08-30 00:00:00+00:00,7082.94,6868.45,6870.45,7286.03,1.411843,SL,-312.67,-3.127,2,2018
long,2018-09-21 00:00:00+00:00,2018-09-25 00:00:00+00:00,6751.45,6546.91,6548.91,6930.33,1.481163,SL,-312.81,-3.128,4,2018
long,2018-09-27 00:00:00+00:00,2018-09-29 00:00:00+00:00,6683.62,6481.11,6483.11,6857.07,1.496195,SL,-312.84,-3.128,2,2018
long,2018-11-07 00:00:00+00:00,2018-11-09 00:00:00+00:00,6503.0,6305.91,6307.91,6647.0,1.537752,SL,-312.92,-3.129,2,2018
long,2019-01-06 00:00:00+00:00,2019-01-10 00:00:00+00:00,4042.71,3919.43,3921.43,4511.11,2.473588,SL,-314.79,-3.148,4,2019
long,2019-02-10 00:00:00+00:00,2019-02-13 00:00:00+00:00,3652.37,3540.8,3542.8,4081.69,2.737948,SL,-315.32,-3.153,3,2019
long,2019-02-17 00:00:00+00:00,2019-02-23 00:00:00+00:00,3627.6,4003.91,3518.77,4024.4,2.756644,TP,1026.83,10.268,6,2019
short,2019-07-16 00:00:00+00:00,2019-07-17 00:00:00+00:00,9410.81,9695.13,9693.13,8546.88,1.062608,SL,-312.28,-3.123,1,2019
short,2019-07-23 00:00:00+00:00,2019-07-25 00:00:00+00:00,9845.02,10142.37,10140.37,8929.84,1.015742,SL,-312.18,-3.122,2,2019
short,2019-08-13 00:00:00+00:00,2019-08-15 00:00:00+00:00,10860.28,9883.4,11186.09,9875.32,0.920787,TP,889.94,8.899,2,2019
short,2019-08-20 00:00:00+00:00,2019-08-21 00:00:00+00:00,10770.22,9868.67,11093.33,9868.67,0.928486,TP,827.5,8.275,1,2019
short,2019-09-06 00:00:00+00:00,2019-09-19 00:00:00+00:00,10309.09,9759.03,10618.36,9662.56,0.970018,TP,523.84,5.238,13,2019
long,2020-01-05 00:00:00+00:00,2020-01-07 00:00:00+00:00,7358.7,7825.91,7137.94,7828.12,1.358936,TP,624.59,6.246,2,2020
short,2020-02-26 00:00:00+00:00,2020-02-27 00:00:00+00:00,8777.36,8778.37,9040.68,8779.9,1.139295,TP,-11.15,-0.112,1,2020
long,2020-04-16 00:00:00+00:00,2020-04-20 00:00:00+00:00,7113.67,6898.26,6900.26,7342.66,1.405744,SL,-312.66,-3.127,4,2020
long,2020-04-21 00:00:00+00:00,2020-04-22 00:00:00+00:00,6856.98,7142.3,6651.27,7142.3,1.458368,TP,405.89,4.059,1,2020
short,2020-06-19 00:00:00+00:00,2020-06-22 00:00:00+00:00,9302.32,9583.39,9581.39,9036.53,1.075001,SL,-312.3,-3.123,3,2020
short,2020-06-24 00:00:00+00:00,2020-06-25 00:00:00+00:00,9284.06,9035.7,9562.58,9035.7,1.077115,TP,257.64,2.576,1,2020
short,2020-07-09 00:00:00+00:00,2020-07-16 00:00:00+00:00,9232.9,9049.89,9509.89,9034.88,1.083083,TP,188.31,1.883,7,2020
short,2020-09-03 00:00:00+00:00,2020-09-04 00:00:00+00:00,10158.0,10464.74,10462.74,9887.79,0.984446,SL,-312.12,-3.121,1,2020
short,2021-04-18 00:00:00+00:00,2021-04-22 00:00:00+00:00,56278.6,50745.39,57966.96,50577.58,0.177687,TP,973.67,9.737,4,2021
short,2021-05-02 00:00:00+00:00,2021-05-03 00:00:00+00:00,56620.66,58321.28,58319.28,51589.73,0.176614,SL,-310.5,-3.105,1,2021
short,2021-05-04 00:00:00+00:00,2021-05-05 00:00:00+00:00,53234.84,54833.89,54831.89,49159.9,0.187847,SL,-310.53,-3.105,1,2021
short,2021-05-06 00:00:00+00:00,2021-05-07 00:00:00+00:00,56445.39,58140.75,58138.75,51681.65,0.177162,SL,-310.5,-3.105,1,2021
short,2021-05-10 00:00:00+00:00,2021-05-12 00:00:00+00:00,55878.72,57557.08,57555.08,51483.0,0.178959,SL,-310.51,-3.105,2,2021
long,2021-07-25 00:00:00+00:00,2021-07-26 00:00:00+00:00,35430.28,37739.23,34367.37,37739.23,0.282244,TP,641.36,6.414,1,2021
long,2021-09-12 00:00:00+00:00,2021-09-13 00:00:00+00:00,46037.0,46039.42,44655.89,45998.38,0.217217,TP,-9.47,-0.095,1,2021
short,2021-09-20 00:00:00+00:00,2021-09-21 00:00:00+00:00,43033.99,43003.07,44325.01,43736.45,0.232374,TP,-2.81,-0.028,1,2021
