tf,dir,retrace,stop,sep_min,sep_max,is_trades,is_pf,passed_is,oos_fwd_pf,oos_fwd_trades,oos_back_pf,oos_back_trades,pf_wo_best,top1_share,worst_trade_pct
15m,long only,0.25,1.0xATR,0.5,0.0,1998,0.57,False,,,,,,,
15m,long only,0.25,1.0xATR,0.5,10.0,1970,0.53,False,,,,,,,
15m,long only,0.25,1.0xATR,0.5,20.0,1996,0.567,False,,,,,,,
15m,long only,0.25,1.0xATR,2.0,0.0,927,0.699,False,,,,,,,
15m,long only,0.25,1.0xATR,2.0,10.0,899,0.646,False,,,,,,,
15m,long only,0.25,1.0xATR,2.0,20.0,925,0.696,False,,,,,,,
15m,long only,0.25,2.0xATR,0.5,0.0,1596,0.655,False,,,,,,,
15m,long only,0.25,2.0xATR,0.5,10.0,1572,0.615,False,,,,,,,
15m,long only,0.25,2.0xATR,0.5,20.0,1595,0.647,False,,,,,,,
15m,long only,0.25,2.0xATR,2.0,0.0,718,0.762,False,,,,,,,
15m,long only,0.25,2.0xATR,2.0,10.0,694,0.713,False,,,,,,,
15m,long only,0.25,2.0xATR,2.0,20.0,717,0.751,False,,,,,,,
15m,long only,0.25,3.0xATR,0.5,0.0,1426,0.66,False,,,,,,,
15m,long only,0.25,3.0xATR,0.5,10.0,1406,0.623,False,,,,,,,
15m,long only,0.25,3.0xATR,0.5,20.0,1425,0.652,False,,,,,,,
15m,long only,0.25,3.0xATR,2.0,0.0,629,0.73,False,,,,,,,
15m,long only,0.25,3.0xATR,2.0,10.0,609,0.684,False,,,,,,,
15m,long only,0.25,3.0xATR,2.0,20.0,628,0.719,False,,,,,,,
15m,long only,0.25,3.0%,0.5,0.0,1311,0.67,False,,,,,,,
15m,long only,0.25,3.0%,0.5,10.0,1286,0.638,False,,,,,,,
15m,long only,0.25,3.0%,0.5,20.0,1309,0.677,False,,,,,,,
15m,long only,0.25,3.0%,2.0,0.0,597,0.738,False,,,,,,,
15m,long only,0.25,3.0%,2.0,10.0,572,0.7,False,,,,,,,
15m,long only,0.25,3.0%,2.0,20.0,595,0.748,False,,,,,,,
15m,long only,0.25,5.0%,0.5,0.0,1187,0.668,False,,,,,,,
15m,long only,0.25,5.0%,0.5,10.0,1164,0.63,False,,,,,,,
15m,long only,0.25,5.0%,0.5,20.0,1185,0.664,False,,,,,,,
15m,long only,0.25,5.0%,2.0,0.0,528,0.748,False,,,,,,,
15m,long only,0.25,5.0%,2.0,10.0,505,0.704,False,,,,,,,
15m,long only,0.25,5.0%,2.0,20.0,526,0.744,False,,,,,,,
15m,long only,0.5,1.0xATR,0.5,0.0,1890,0.63,False,,,,,,,
15m,long only,0.5,1.0xATR,0.5,10.0,1863,0.607,False,,,,,,,
15m,long only,0.5,1.0xATR,0.5,20.0,1888,0.637,False,,,,,,,
15m,long only,0.5,1.0xATR,2.0,0.0,883,0.711,False,,,,,,,
15m,long only,0.5,1.0xATR,2.0,10.0,856,0.682,False,,,,,,,
15m,long only,0.5,1.0xATR,2.0,20.0,881,0.724,False,,,,,,,
15m,long only,0.5,2.0xATR,0.5,0.0,1380,0.716,False,,,,,,,
15m,long only,0.5,2.0xATR,0.5,10.0,1363,0.694,False,,,,,,,
15m,long only,0.5,2.0xATR,0.5,20.0,1384,0.713,False,,,,,,,
15m,long only,0.5,2.0xATR,2.0,0.0,627,0.778,False,,,,,,,
15m,long only,0.5,2.0xATR,2.0,10.0,608,0.751,False,,,,,,,
15m,long only,0.5,2.0xATR,2.0,20.0,629,0.773,False,,,,,,,
15m,long only,0.5,3.0xATR,0.5,0.0,1176,0.755,False,,,,,,,
15m,long only,0.5,3.0xATR,0.5,10.0,1163,0.746,False,,,,,,,
15m,long only,0.5,3.0xATR,0.5,20.0,1178,0.764,False,,,,,,,
15m,long only,0.5,3.0xATR,2.0,0.0,530,0.776,False,,,,,,,
15m,long only,0.5,3.0xATR,2.0,10.0,516,0.766,False,,,,,,,
15m,long only,0.5,3.0xATR,2.0,20.0,531,0.788,False,,,,,,,
15m,long only,0.5,3.0%,0.5,0.0,1067,0.767,False,,,,,,,
15m,long only,0.5,3.0%,0.5,10.0,1043,0.749,False,,,,,,,
