tf,dir,retrace,stop,sep_min,sep_max,is_trades,is_pf,passed_is,oos_fwd_pf,oos_fwd_trades,oos_back_pf,oos_back_trades,pf_wo_best,top1_share,worst_trade_pct,oos_pf,oos_trades
15m,long only,0.25,1.0xATR,0.5,0.0,1998,0.57,False,,,,,,,,0.529,1716
15m,long only,0.25,1.0xATR,0.5,10.0,1970,0.53,False,,,,,,,,0.52,1709
15m,long only,0.25,1.0xATR,0.5,20.0,1996,0.567,False,,,,,,,,0.529,1716
15m,long only,0.25,1.0xATR,2.0,0.0,927,0.699,False,,,,,,,,0.719,430
15m,long only,0.25,1.0xATR,2.0,10.0,899,0.646,False,,,,,,,,0.706,423
15m,long only,0.25,1.0xATR,2.0,20.0,925,0.696,False,,,,,,,,0.719,430
15m,long only,0.25,2.0xATR,0.5,0.0,1596,0.655,False,,,,,,,,0.567,1387
15m,long only,0.25,2.0xATR,0.5,10.0,1572,0.615,False,,,,,,,,0.553,1383
15m,long only,0.25,2.0xATR,0.5,20.0,1595,0.647,False,,,,,,,,0.567,1387
15m,long only,0.25,2.0xATR,2.0,0.0,718,0.762,False,,,,,,,,0.772,329
15m,long only,0.25,2.0xATR,2.0,10.0,694,0.713,False,,,,,,,,0.742,325
15m,long only,0.25,2.0xATR,2.0,20.0,717,0.751,False,,,,,,,,0.772,329
15m,long only,0.25,3.0xATR,0.5,0.0,1426,0.66,False,,,,,,,,0.575,1225
15m,long only,0.25,3.0xATR,0.5,10.0,1406,0.623,False,,,,,,,,0.564,1223
15m,long only,0.25,3.0xATR,0.5,20.0,1425,0.652,False,,,,,,,,0.575,1225
15m,long only,0.25,3.0xATR,2.0,0.0,629,0.73,False,,,,,,,,0.679,298
15m,long only,0.25,3.0xATR,2.0,10.0,609,0.684,False,,,,,,,,0.657,296
15m,long only,0.25,3.0xATR,2.0,20.0,628,0.719,False,,,,,,,,0.679,298
15m,long only,0.25,3.0%,0.5,0.0,1311,0.67,False,,,,,,,,0.603,995
15m,long only,0.25,3.0%,0.5,10.0,1286,0.638,False,,,,,,,,0.586,991
15m,long only,0.25,3.0%,0.5,20.0,1309,0.677,False,,,,,,,,0.603,995
15m,long only,0.25,3.0%,2.0,0.0,597,0.738,False,,,,,,,,0.678,260
15m,long only,0.25,3.0%,2.0,10.0,572,0.7,False,,,,,,,,0.649,256
15m,long only,0.25,3.0%,2.0,20.0,595,0.748,False,,,,,,,,0.678,260
15m,long only,0.25,5.0%,0.5,0.0,1187,0.668,False,,,,,,,,0.559,910
15m,long only,0.25,5.0%,0.5,10.0,1164,0.63,False,,,,,,,,0.543,908
15m,long only,0.25,5.0%,0.5,20.0,1185,0.664,False,,,,,,,,0.559,910
15m,long only,0.25,5.0%,2.0,0.0,528,0.748,False,,,,,,,,0.684,229
15m,long only,0.25,5.0%,2.0,10.0,505,0.704,False,,,,,,,,0.653,227
15m,long only,0.25,5.0%,2.0,20.0,526,0.744,False,,,,,,,,0.684,229
15m,long only,0.5,1.0xATR,0.5,0.0,1890,0.63,False,,,,,,,,0.688,1603
15m,long only,0.5,1.0xATR,0.5,10.0,1863,0.607,False,,,,,,,,0.691,1597
15m,long only,0.5,1.0xATR,0.5,20.0,1888,0.637,False,,,,,,,,0.688,1603
15m,long only,0.5,1.0xATR,2.0,0.0,883,0.711,False,,,,,,,,0.837,407
15m,long only,0.5,1.0xATR,2.0,10.0,856,0.682,False,,,,,,,,0.853,401
15m,long only,0.5,1.0xATR,2.0,20.0,881,0.724,False,,,,,,,,0.837,407
15m,long only,0.5,2.0xATR,0.5,0.0,1380,0.716,False,,,,,,,,0.753,1222
15m,long only,0.5,2.0xATR,0.5,10.0,1363,0.694,False,,,,,,,,0.749,1220
15m,long only,0.5,2.0xATR,0.5,20.0,1384,0.713,False,,,,,,,,0.753,1222
15m,long only,0.5,2.0xATR,2.0,0.0,627,0.778,False,,,,,,,,0.88,304
15m,long only,0.5,2.0xATR,2.0,10.0,608,0.751,False,,,,,,,,0.873,302
15m,long only,0.5,2.0xATR,2.0,20.0,629,0.773,False,,,,,,,,0.88,304
15m,long only,0.5,3.0xATR,0.5,0.0,1176,0.755,False,,,,,,,,0.756,1046
15m,long only,0.5,3.0xATR,0.5,10.0,1163,0.746,False,,,,,,,,0.747,1045
15m,long only,0.5,3.0xATR,0.5,20.0,1178,0.764,False,,,,,,,,0.756,1046
15m,long only,0.5,3.0xATR,2.0,0.0,530,0.776,False,,,,,,,,0.827,264
15m,long only,0.5,3.0xATR,2.0,10.0,516,0.766,False,,,,,,,,0.809,263
15m,long only,0.5,3.0xATR,2.0,20.0,531,0.788,False,,,,,,,,0.827,264
15m,long only,0.5,3.0%,0.5,0.0,1067,0.767,False,,,,,,,,0.759,795
15m,long only,0.5,3.0%,0.5,10.0,1043,0.749,False,,,,,,,,0.753,793
15m,long only,0.5,3.0%,0.5,20.0,1065,0.773,False,,,,,,,,0.759,795
15m,long only,0.5,3.0%,2.0,0.0,509,0.788,False,,,,,,,,0.802,224
15m,long only,0.5,3.0%,2.0,10.0,485,0.767,False,,,,,,,,0.792,222
15m,long only,0.5,3.0%,2.0,20.0,507,0.797,False,,,,,,,,0.802,224
15m,long only,0.5,5.0%,0.5,0.0,944,0.769,False,,,,,,,,0.747,712
15m,long only,0.5,5.0%,0.5,10.0,924,0.762,False,,,,,,,,0.733,711
15m,long only,0.5,5.0%,0.5,20.0,942,0.78,False,,,,,,,,0.747,712
15m,long only,0.5,5.0%,2.0,0.0,435,0.789,False,,,,,,,,0.842,194
15m,long only,0.5,5.0%,2.0,10.0,415,0.783,False,,,,,,,,0.816,193
15m,long only,0.5,5.0%,2.0,20.0,433,0.804,False,,,,,,,,0.842,194
15m,long only,0.75,1.0xATR,0.5,0.0,1815,0.684,False,,,,,,,,0.77,1553
15m,long only,0.75,1.0xATR,0.5,10.0,1789,0.652,False,,,,,,,,0.773,1547
15m,long only,0.75,1.0xATR,0.5,20.0,1813,0.691,False,,,,,,,,0.77,1553
15m,long only,0.75,1.0xATR,2.0,0.0,863,0.732,False,,,,,,,,0.978,405
15m,long only,0.75,1.0xATR,2.0,10.0,837,0.687,False,,,,,,,,0.996,399
15m,long only,0.75,1.0xATR,2.0,20.0,861,0.745,False,,,,,,,,0.978,405
15m,long only,0.75,2.0xATR,0.5,0.0,1268,0.787,False,,,,,,,,0.83,1139
15m,long only,0.75,2.0xATR,0.5,10.0,1252,0.748,False,,,,,,,,0.825,1137
15m,long only,0.75,2.0xATR,0.5,20.0,1269,0.782,False,,,,,,,,0.83,1139
15m,long only,0.75,2.0xATR,2.0,0.0,586,0.846,False,,,,,,,,0.971,299
15m,long only,0.75,2.0xATR,2.0,10.0,568,0.793,False,,,,,,,,0.962,297
15m,long only,0.75,2.0xATR,2.0,20.0,587,0.839,False,,,,,,,,0.971,299
15m,long only,0.75,3.0xATR,0.5,0.0,1058,0.815,False,,,,,,,,0.87,957
15m,long only,0.75,3.0xATR,0.5,10.0,1045,0.792,False,,,,,,,,0.861,956
15m,long only,0.75,3.0xATR,0.5,20.0,1058,0.818,False,,,,,,,,0.87,957
15m,long only,0.75,3.0xATR,2.0,0.0,489,0.821,False,,,,,,,,0.963,256
15m,long only,0.75,3.0xATR,2.0,10.0,476,0.79,False,,,,,,,,0.944,255
15m,long only,0.75,3.0xATR,2.0,20.0,489,0.825,False,,,,,,,,0.963,256
15m,long only,0.75,3.0%,0.5,0.0,941,0.827,False,,,,,,,,0.854,703
15m,long only,0.75,3.0%,0.5,10.0,919,0.797,False,,,,,,,,0.847,701
15m,long only,0.75,3.0%,0.5,20.0,939,0.833,False,,,,,,,,0.854,703
15m,long only,0.75,3.0%,2.0,0.0,463,0.838,False,,,,,,,,0.92,216
15m,long only,0.75,3.0%,2.0,10.0,441,0.799,False,,,,,,,,0.908,214
15m,long only,0.75,3.0%,2.0,20.0,461,0.847,False,,,,,,,,0.92,216
15m,long only,0.75,5.0%,0.5,0.0,822,0.825,False,,,,,,,,0.845,630
15m,long only,0.75,5.0%,0.5,10.0,804,0.803,False,,,,,,,,0.83,629
15m,long only,0.75,5.0%,0.5,20.0,820,0.837,False,,,,,,,,0.845,630
15m,long only,0.75,5.0%,2.0,0.0,388,0.852,False,,,,,,,,0.944,187
15m,long only,0.75,5.0%,2.0,10.0,370,0.824,False,,,,,,,,0.917,186
15m,long only,0.75,5.0%,2.0,20.0,386,0.868,False,,,,,,,,0.944,187
15m,long only,1.0,1.0xATR,0.5,0.0,1748,0.659,False,,,,,,,,0.76,1518
15m,long only,1.0,1.0xATR,0.5,10.0,1723,0.624,False,,,,,,,,0.761,1512
15m,long only,1.0,1.0xATR,0.5,20.0,1746,0.666,False,,,,,,,,0.76,1518
15m,long only,1.0,1.0xATR,2.0,0.0,848,0.702,False,,,,,,,,0.926,401
15m,long only,1.0,1.0xATR,2.0,10.0,823,0.653,False,,,,,,,,0.938,395
15m,long only,1.0,1.0xATR,2.0,20.0,846,0.713,False,,,,,,,,0.926,401
15m,long only,1.0,2.0xATR,0.5,0.0,1180,0.759,False,,,,,,,,0.829,1091
15m,long only,1.0,2.0xATR,0.5,10.0,1166,0.718,False,,,,,,,,0.823,1089
15m,long only,1.0,2.0xATR,0.5,20.0,1181,0.754,False,,,,,,,,0.829,1091
15m,long only,1.0,2.0xATR,2.0,0.0,571,0.797,False,,,,,,,,0.951,296
15m,long only,1.0,2.0xATR,2.0,10.0,554,0.745,False,,,,,,,,0.94,294
15m,long only,1.0,2.0xATR,2.0,20.0,572,0.79,False,,,,,,,,0.951,296
15m,long only,1.0,3.0xATR,0.5,0.0,961,0.789,False,,,,,,,,0.854,904
15m,long only,1.0,3.0xATR,0.5,10.0,951,0.763,False,,,,,,,,0.844,903
15m,long only,1.0,3.0xATR,0.5,20.0,961,0.791,False,,,,,,,,0.854,904
15m,long only,1.0,3.0xATR,2.0,0.0,468,0.793,False,,,,,,,,0.951,252
15m,long only,1.0,3.0xATR,2.0,10.0,457,0.758,False,,,,,,,,0.93,251
15m,long only,1.0,3.0xATR,2.0,20.0,468,0.796,False,,,,,,,,0.951,252
15m,long only,1.0,3.0%,0.5,0.0,848,0.778,False,,,,,,,,0.852,634
15m,long only,1.0,3.0%,0.5,10.0,828,0.748,False,,,,,,,,0.844,632
15m,long only,1.0,3.0%,0.5,20.0,846,0.784,False,,,,,,,,0.852,634
15m,long only,1.0,3.0%,2.0,0.0,447,0.792,False,,,,,,,,0.896,210
15m,long only,1.0,3.0%,2.0,10.0,426,0.752,False,,,,,,,,0.883,208
15m,long only,1.0,3.0%,2.0,20.0,445,0.799,False,,,,,,,,0.896,210
15m,long only,1.0,5.0%,0.5,0.0,726,0.762,False,,,,,,,,0.819,569
15m,long only,1.0,5.0%,0.5,10.0,710,0.74,False,,,,,,,,0.805,568
15m,long only,1.0,5.0%,0.5,20.0,724,0.772,False,,,,,,,,0.819,569
15m,long only,1.0,5.0%,2.0,0.0,368,0.803,False,,,,,,,,0.861,180
15m,long only,1.0,5.0%,2.0,10.0,351,0.778,False,,,,,,,,0.836,179
15m,long only,1.0,5.0%,2.0,20.0,366,0.817,False,,,,,,,,0.861,180
15m,both,0.25,1.0xATR,0.5,0.0,4699,0.496,False,,,,,,,,0.461,3631
15m,both,0.25,1.0xATR,0.5,10.0,4659,0.474,False,,,,,,,,0.456,3624
15m,both,0.25,1.0xATR,0.5,20.0,4697,0.495,False,,,,,,,,0.461,3631
15m,both,0.25,1.0xATR,2.0,0.0,2127,0.622,False,,,,,,,,0.633,889
15m,both,0.25,1.0xATR,2.0,10.0,2087,0.592,False,,,,,,,,0.625,882
15m,both,0.25,1.0xATR,2.0,20.0,2125,0.621,False,,,,,,,,0.633,889
15m,both,0.25,2.0xATR,0.5,0.0,3694,0.589,False,,,,,,,,0.536,2871
15m,both,0.25,2.0xATR,0.5,10.0,3664,0.564,False,,,,,,,,0.529,2867
15m,both,0.25,2.0xATR,0.5,20.0,3693,0.586,False,,,,,,,,0.536,2871
15m,both,0.25,2.0xATR,2.0,0.0,1624,0.7,False,,,,,,,,0.707,685
15m,both,0.25,2.0xATR,2.0,10.0,1594,0.667,False,,,,,,,,0.692,681
15m,both,0.25,2.0xATR,2.0,20.0,1623,0.695,False,,,,,,,,0.707,685
15m,both,0.25,3.0xATR,0.5,0.0,3280,0.625,False,,,,,,,,0.547,2533
15m,both,0.25,3.0xATR,0.5,10.0,3255,0.599,False,,,,,,,,0.541,2531
15m,both,0.25,3.0xATR,0.5,20.0,3279,0.621,False,,,,,,,,0.547,2533
15m,both,0.25,3.0xATR,2.0,0.0,1414,0.727,False,,,,,,,,0.678,597
15m,both,0.25,3.0xATR,2.0,10.0,1389,0.693,False,,,,,,,,0.666,595
15m,both,0.25,3.0xATR,2.0,20.0,1413,0.722,False,,,,,,,,0.678,597
15m,both,0.25,3.0%,0.5,0.0,2918,0.614,False,,,,,,,,0.562,2001
15m,both,0.25,3.0%,0.5,10.0,2885,0.591,False,,,,,,,,0.553,1997
15m,both,0.25,3.0%,0.5,20.0,2916,0.616,False,,,,,,,,0.562,2001
15m,both,0.25,3.0%,2.0,0.0,1301,0.741,False,,,,,,,,0.719,502
15m,both,0.25,3.0%,2.0,10.0,1268,0.712,False,,,,,,,,0.703,498
15m,both,0.25,3.0%,2.0,20.0,1299,0.746,False,,,,,,,,0.719,502
15m,both,0.25,5.0%,0.5,0.0,2598,0.615,False,,,,,,,,0.518,1838
15m,both,0.25,5.0%,0.5,10.0,2570,0.587,False,,,,,,,,0.51,1836
15m,both,0.25,5.0%,0.5,20.0,2596,0.613,False,,,,,,,,0.518,1838
15m,both,0.25,5.0%,2.0,0.0,1149,0.757,False,,,,,,,,0.697,456
15m,both,0.25,5.0%,2.0,10.0,1121,0.722,False,,,,,,,,0.68,454
15m,both,0.25,5.0%,2.0,20.0,1147,0.755,False,,,,,,,,0.697,456
15m,both,0.5,1.0xATR,0.5,0.0,4455,0.573,False,,,,,,,,0.617,3418
15m,both,0.5,1.0xATR,0.5,10.0,4417,0.558,False,,,,,,,,0.618,3412
15m,both,0.5,1.0xATR,0.5,20.0,4453,0.576,False,,,,,,,,0.617,3418
15m,both,0.5,1.0xATR,2.0,0.0,2031,0.658,False,,,,,,,,0.747,853
15m,both,0.5,1.0xATR,2.0,10.0,1993,0.639,False,,,,,,,,0.753,847
15m,both,0.5,1.0xATR,2.0,20.0,2029,0.664,False,,,,,,,,0.747,853
15m,both,0.5,2.0xATR,0.5,0.0,3196,0.67,False,,,,,,,,0.709,2542
15m,both,0.5,2.0xATR,0.5,10.0,3172,0.656,False,,,,,,,,0.707,2540
15m,both,0.5,2.0xATR,0.5,20.0,3200,0.669,False,,,,,,,,0.709,2542
15m,both,0.5,2.0xATR,2.0,0.0,1421,0.737,False,,,,,,,,0.839,631
15m,both,0.5,2.0xATR,2.0,10.0,1396,0.718,False,,,,,,,,0.835,629
15m,both,0.5,2.0xATR,2.0,20.0,1423,0.734,False,,,,,,,,0.839,631
15m,both,0.5,3.0xATR,0.5,0.0,2699,0.716,False,,,,,,,,0.712,2159
15m,both,0.5,3.0xATR,0.5,10.0,2682,0.705,False,,,,,,,,0.708,2158
15m,both,0.5,3.0xATR,0.5,20.0,2701,0.72,False,,,,,,,,0.712,2159
15m,both,0.5,3.0xATR,2.0,0.0,1183,0.766,False,,,,,,,,0.81,536
15m,both,0.5,3.0xATR,2.0,10.0,1165,0.752,False,,,,,,,,0.8,535
15m,both,0.5,3.0xATR,2.0,20.0,1184,0.772,False,,,,,,,,0.81,536
15m,both,0.5,3.0%,0.5,0.0,2335,0.71,False,,,,,,,,0.72,1601
15m,both,0.5,3.0%,0.5,10.0,2305,0.695,False,,,,,,,,0.717,1599
15m,both,0.5,3.0%,0.5,20.0,2333,0.712,False,,,,,,,,0.72,1601
15m,both,0.5,3.0%,2.0,0.0,1080,0.782,False,,,,,,,,0.834,434
15m,both,0.5,3.0%,2.0,10.0,1050,0.765,False,,,,,,,,0.829,432
15m,both,0.5,3.0%,2.0,20.0,1078,0.787,False,,,,,,,,0.834,434
15m,both,0.5,5.0%,0.5,0.0,2030,0.714,False,,,,,,,,0.703,1451
15m,both,0.5,5.0%,0.5,10.0,2007,0.7,False,,,,,,,,0.696,1450
15m,both,0.5,5.0%,0.5,20.0,2028,0.719,False,,,,,,,,0.703,1451
15m,both,0.5,5.0%,2.0,0.0,918,0.806,False,,,,,,,,0.838,389
15m,both,0.5,5.0%,2.0,10.0,895,0.791,False,,,,,,,,0.824,388
15m,both,0.5,5.0%,2.0,20.0,916,0.815,False,,,,,,,,0.838,389
15m,both,0.75,1.0xATR,0.5,0.0,4282,0.586,False,,,,,,,,0.683,3312
15m,both,0.75,1.0xATR,0.5,10.0,4248,0.565,False,,,,,,,,0.684,3306
15m,both,0.75,1.0xATR,0.5,20.0,4280,0.589,False,,,,,,,,0.683,3312
15m,both,0.75,1.0xATR,2.0,0.0,1983,0.645,False,,,,,,,,0.835,845
15m,both,0.75,1.0xATR,2.0,10.0,1949,0.614,False,,,,,,,,0.841,839
15m,both,0.75,1.0xATR,2.0,20.0,1981,0.65,False,,,,,,,,0.835,845
15m,both,0.75,2.0xATR,0.5,0.0,2916,0.695,False,,,,,,,,0.769,2362
15m,both,0.75,2.0xATR,0.5,10.0,2894,0.673,False,,,,,,,,0.766,2360
15m,both,0.75,2.0xATR,0.5,20.0,2917,0.693,False,,,,,,,,0.769,2362
15m,both,0.75,2.0xATR,2.0,0.0,1338,0.748,False,,,,,,,,0.877,616
15m,both,0.75,2.0xATR,2.0,10.0,1315,0.718,False,,,,,,,,0.872,614
15m,both,0.75,2.0xATR,2.0,20.0,1339,0.745,False,,,,,,,,0.877,616
15m,both,0.75,3.0xATR,0.5,0.0,2399,0.732,False,,,,,,,,0.79,1975
15m,both,0.75,3.0xATR,0.5,10.0,2383,0.715,False,,,,,,,,0.785,1974
15m,both,0.75,3.0xATR,0.5,20.0,2399,0.733,False,,,,,,,,0.79,1975
15m,both,0.75,3.0xATR,2.0,0.0,1096,0.762,False,,,,,,,,0.871,517
15m,both,0.75,3.0xATR,2.0,10.0,1080,0.739,False,,,,,,,,0.86,516
15m,both,0.75,3.0xATR,2.0,20.0,1096,0.764,False,,,,,,,,0.871,517
15m,both,0.75,3.0%,0.5,0.0,2033,0.727,False,,,,,,,,0.802,1410
15m,both,0.75,3.0%,0.5,10.0,2007,0.706,False,,,,,,,,0.799,1408
15m,both,0.75,3.0%,0.5,20.0,2031,0.73,False,,,,,,,,0.802,1410
15m,both,0.75,3.0%,2.0,0.0,987,0.782,False,,,,,,,,0.938,413
15m,both,0.75,3.0%,2.0,10.0,961,0.753,False,,,,,,,,0.931,411
15m,both,0.75,3.0%,2.0,20.0,985,0.786,False,,,,,,,,0.938,413
15m,both,0.75,5.0%,0.5,0.0,1757,0.715,False,,,,,,,,0.786,1271
15m,both,0.75,5.0%,0.5,10.0,1737,0.693,False,,,,,,,,0.779,1270
15m,both,0.75,5.0%,0.5,20.0,1755,0.72,False,,,,,,,,0.786,1271
15m,both,0.75,5.0%,2.0,0.0,826,0.792,False,,,,,,,,0.952,370
15m,both,0.75,5.0%,2.0,10.0,806,0.763,False,,,,,,,,0.936,369
15m,both,0.75,5.0%,2.0,20.0,824,0.799,False,,,,,,,,0.952,370
15m,both,1.0,1.0xATR,0.5,0.0,4157,0.569,False,,,,,,,,0.7,3245
15m,both,1.0,1.0xATR,0.5,10.0,4124,0.552,False,,,,,,,,0.701,3239
15m,both,1.0,1.0xATR,0.5,20.0,4155,0.572,False,,,,,,,,0.7,3245
15m,both,1.0,1.0xATR,2.0,0.0,1956,0.612,False,,,,,,,,0.834,840
15m,both,1.0,1.0xATR,2.0,10.0,1923,0.585,False,,,,,,,,0.838,834
15m,both,1.0,1.0xATR,2.0,20.0,1954,0.617,False,,,,,,,,0.834,840
15m,both,1.0,2.0xATR,0.5,0.0,2738,0.681,False,,,,,,,,0.796,2264
15m,both,1.0,2.0xATR,0.5,10.0,2719,0.661,False,,,,,,,,0.793,2262
15m,both,1.0,2.0xATR,0.5,20.0,2739,0.679,False,,,,,,,,0.796,2264
15m,both,1.0,2.0xATR,2.0,0.0,1306,0.714,False,,,,,,,,0.892,611
15m,both,1.0,2.0xATR,2.0,10.0,1285,0.69,False,,,,,,,,0.885,609
15m,both,1.0,2.0xATR,2.0,20.0,1307,0.711,False,,,,,,,,0.892,611
15m,both,1.0,3.0xATR,0.5,0.0,2205,0.717,False,,,,,,,,0.814,1868
15m,both,1.0,3.0xATR,0.5,10.0,2193,0.703,False,,,,,,,,0.809,1867
15m,both,1.0,3.0xATR,0.5,20.0,2205,0.718,False,,,,,,,,0.814,1868
15m,both,1.0,3.0xATR,2.0,0.0,1055,0.735,False,,,,,,,,0.9,510
15m,both,1.0,3.0xATR,2.0,10.0,1042,0.716,False,,,,,,,,0.889,509
15m,both,1.0,3.0xATR,2.0,20.0,1055,0.737,False,,,,,,,,0.9,510
15m,both,1.0,3.0%,0.5,0.0,1850,0.704,False,,,,,,,,0.835,1287
15m,both,1.0,3.0%,0.5,10.0,1826,0.687,False,,,,,,,,0.831,1285
15m,both,1.0,3.0%,0.5,20.0,1848,0.706,False,,,,,,,,0.835,1287
15m,both,1.0,3.0%,2.0,0.0,950,0.748,False,,,,,,,,0.963,404
15m,both,1.0,3.0%,2.0,10.0,925,0.726,False,,,,,,,,0.956,402
15m,both,1.0,3.0%,2.0,20.0,948,0.751,False,,,,,,,,0.963,404
15m,both,1.0,5.0%,0.5,0.0,1581,0.67,False,,,,,,,,0.805,1163
15m,both,1.0,5.0%,0.5,10.0,1564,0.653,False,,,,,,,,0.797,1162
15m,both,1.0,5.0%,0.5,20.0,1579,0.674,False,,,,,,,,0.805,1163
15m,both,1.0,5.0%,2.0,0.0,783,0.737,False,,,,,,,,0.943,359
15m,both,1.0,5.0%,2.0,10.0,765,0.716,False,,,,,,,,0.927,358
15m,both,1.0,5.0%,2.0,20.0,781,0.743,False,,,,,,,,0.943,359
1h,long only,0.25,1.0xATR,0.5,0.0,508,0.665,False,,,,,,,,0.775,576
1h,long only,0.25,1.0xATR,0.5,10.0,452,0.643,False,,,,,,,,0.745,561
1h,long only,0.25,1.0xATR,0.5,20.0,503,0.654,False,,,,,,,,0.789,575
1h,long only,0.25,1.0xATR,2.0,0.0,364,0.682,False,,,,,,,,0.898,292
1h,long only,0.25,1.0xATR,2.0,10.0,308,0.665,False,,,,,,,,0.874,277
1h,long only,0.25,1.0xATR,2.0,20.0,359,0.671,False,,,,,,,,0.921,291
1h,long only,0.25,2.0xATR,0.5,0.0,425,0.763,False,,,,,,,,0.761,488
1h,long only,0.25,2.0xATR,0.5,10.0,387,0.604,False,,,,,,,,0.775,475
1h,long only,0.25,2.0xATR,0.5,20.0,422,0.707,False,,,,,,,,0.787,487
